poi_id,name,poi_type,latitude,longitude,station_id,district_id,address,category,geometry,risk_factor,opening_hours,footfall_score
POI-000026,Bank - Bengaluru North PS-6 Area,Bank,12.94763,77.38559,STN-KA-BLR-0005,KA-BLR,"Near Bengaluru North PS-6, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000027,Temple - Bengaluru North PS-6 Area,Temple,12.93366,77.40409,STN-KA-BLR-0005,KA-BLR,"Near Bengaluru North PS-6, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000028,Jewellery Shop - Bengaluru North PS-6 Area,Jewellery Shop,12.94436,77.40671,STN-KA-BLR-0005,KA-BLR,"Near Bengaluru North PS-6, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000029,Jewellery Shop - Bengaluru North PS-6 Area,Jewellery Shop,12.93885,77.39951,STN-KA-BLR-0005,KA-BLR,"Near Bengaluru North PS-6, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000030,Metro Station - Bengaluru North PS-6 Area,Metro Station,12.89592,77.43441,STN-KA-BLR-0005,KA-BLR,"Near Bengaluru North PS-6, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000031,Metro Station - Bengaluru North PS-6 Area,Metro Station,12.94749,77.40123,STN-KA-BLR-0005,KA-BLR,"Near Bengaluru North PS-6, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000032,Bank - Bengaluru North PS-6 Area,Bank,12.91647,77.40815,STN-KA-BLR-0005,KA-BLR,"Near Bengaluru North PS-6, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000033,School - Bengaluru North PS-7 Area,School,13.14132,77.65043,STN-KA-BLR-0006,KA-BLR,"Near Bengaluru North PS-7, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000034,Temple - Bengaluru North PS-7 Area,Temple,13.10121,77.64358,STN-KA-BLR-0006,KA-BLR,"Near Bengaluru North PS-7, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000035,Bank - Bengaluru North PS-8 Area,Bank,13.08167,77.58488,STN-KA-BLR-0007,KA-BLR,"Near Bengaluru North PS-8, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000036,Temple - Bengaluru North PS-8 Area,Temple,13.06435,77.6077,STN-KA-BLR-0007,KA-BLR,"Near Bengaluru North PS-8, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000037,ATM - Bengaluru North PS-8 Area,ATM,13.09845,77.55057,STN-KA-BLR-0007,KA-BLR,"Near Bengaluru North PS-8, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000038,Temple - Bengaluru North PS-8 Area,Temple,13.09024,77.56667,STN-KA-BLR-0007,KA-BLR,"Near Bengaluru North PS-8, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000039,Metro Station - Bengaluru North PS-8 Area,Metro Station,13.09872,77.59195,STN-KA-BLR-0007,KA-BLR,"Near Bengaluru North PS-8, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000040,Liquor Store - Bengaluru North PS-8 Area,Liquor Store,13.07011,77.59241,STN-KA-BLR-0007,KA-BLR,"Near Bengaluru North PS-8, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000041,Liquor Store - Bengaluru North PS-8 Area,Liquor Store,13.05234,77.5884,STN-KA-BLR-0007,KA-BLR,"Near Bengaluru North PS-8, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000042,Bank - Bengaluru North PS-9 Area,Bank,13.16269,77.72276,STN-KA-BLR-0008,KA-BLR,"Near Bengaluru North PS-9, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000043,Jewellery Shop - Bengaluru North PS-9 Area,Jewellery Shop,13.20806,77.7173,STN-KA-BLR-0008,KA-BLR,"Near Bengaluru North PS-9, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000044,ATM - Bengaluru North PS-9 Area,ATM,13.1719,77.69313,STN-KA-BLR-0008,KA-BLR,"Near Bengaluru North PS-9, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000045,School - Bengaluru North PS-9 Area,School,13.18145,77.71998,STN-KA-BLR-0008,KA-BLR,"Near Bengaluru North PS-9, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000046,School - Bengaluru North PS-9 Area,School,13.18698,77.7175,STN-KA-BLR-0008,KA-BLR,"Near Bengaluru North PS-9, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000047,ATM - Bengaluru North PS-10 Area,ATM,13.15713,77.71113,STN-KA-BLR-0009,KA-BLR,"Near Bengaluru North PS-10, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000048,Bank - Bengaluru North PS-10 Area,Bank,13.14816,77.70209,STN-KA-BLR-0009,KA-BLR,"Near Bengaluru North PS-10, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000049,Temple - Bengaluru North PS-10 Area,Temple,13.14557,77.71935,STN-KA-BLR-0009,KA-BLR,"Near Bengaluru North PS-10, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000050,Temple - Bengaluru North PS-10 Area,Temple,13.15501,77.71767,STN-KA-BLR-0009,KA-BLR,"Near Bengaluru North PS-10, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000051,Bank - Bengaluru North PS-11 Area,Bank,12.87459,77.43149,STN-KA-BLR-0010,KA-BLR,"Near Bengaluru North PS-11, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000052,Bank - Bengaluru North PS-11 Area,Bank,12.8351,77.46118,STN-KA-BLR-0010,KA-BLR,"Near Bengaluru North PS-11, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000053,Bank - Bengaluru North PS-11 Area,Bank,12.8652,77.46184,STN-KA-BLR-0010,KA-BLR,"Near Bengaluru North PS-11, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000054,Liquor Store - Bengaluru North PS-12 Area,Liquor Store,12.85471,77.59806,STN-KA-BLR-0011,KA-BLR,"Near Bengaluru North PS-12, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000055,ATM - Bengaluru North PS-12 Area,ATM,12.80647,77.60484,STN-KA-BLR-0011,KA-BLR,"Near Bengaluru North PS-12, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000056,Metro Station - Bengaluru North PS-12 Area,Metro Station,12.83895,77.57919,STN-KA-BLR-0011,KA-BLR,"Near Bengaluru North PS-12, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000057,ATM - Bengaluru North PS-12 Area,ATM,12.82392,77.56827,STN-KA-BLR-0011,KA-BLR,"Near Bengaluru North PS-12, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000058,ATM - Bengaluru North PS-12 Area,ATM,12.83914,77.59742,STN-KA-BLR-0011,KA-BLR,"Near Bengaluru North PS-12, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000059,School - Bengaluru North PS-12 Area,School,12.83415,77.60845,STN-KA-BLR-0011,KA-BLR,"Near Bengaluru North PS-12, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000060,Jewellery Shop - Bengaluru North PS-12 Area,Jewellery Shop,12.84293,77.60664,STN-KA-BLR-0011,KA-BLR,"Near Bengaluru North PS-12, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000061,Temple - Bengaluru North PS-12 Area,Temple,12.82801,77.57185,STN-KA-BLR-0011,KA-BLR,"Near Bengaluru North PS-12, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000062,Temple - Bengaluru South PS-13 Area,Temple,13.14661,77.45903,STN-KA-BLR-0012,KA-BLR,"Near Bengaluru South PS-13, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000063,Metro Station - Bengaluru South PS-13 Area,Metro Station,13.18376,77.46707,STN-KA-BLR-0012,KA-BLR,"Near Bengaluru South PS-13, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000064,School - Bengaluru South PS-13 Area,School,13.15934,77.46223,STN-KA-BLR-0012,KA-BLR,"Near Bengaluru South PS-13, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000065,Temple - Bengaluru South PS-13 Area,Temple,13.17947,77.47373,STN-KA-BLR-0012,KA-BLR,"Near Bengaluru South PS-13, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000066,Temple - Bengaluru South PS-14 Area,Temple,12.84014,77.60078,STN-KA-BLR-0013,KA-BLR,"Near Bengaluru South PS-14, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000067,ATM - Bengaluru South PS-14 Area,ATM,12.787,77.61062,STN-KA-BLR-0013,KA-BLR,"Near Bengaluru South PS-14, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000068,Temple - Bengaluru South PS-14 Area,Temple,12.80981,77.60642,STN-KA-BLR-0013,KA-BLR,"Near Bengaluru South PS-14, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000069,Market - Bengaluru South PS-14 Area,Market,12.7856,77.64738,STN-KA-BLR-0013,KA-BLR,"Near Bengaluru South PS-14, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000070,Jewellery Shop - Bengaluru South PS-15 Area,Jewellery Shop,12.82987,77.59118,STN-KA-BLR-0014,KA-BLR,"Near Bengaluru South PS-15, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000071,Metro Station - Bengaluru South PS-15 Area,Metro Station,12.82962,77.54773,STN-KA-BLR-0014,KA-BLR,"Near Bengaluru South PS-15, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000072,Jewellery Shop - Bengaluru South PS-16 Area,Jewellery Shop,12.83352,77.69592,STN-KA-BLR-0015,KA-BLR,"Near Bengaluru South PS-16, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000073,Temple - Bengaluru South PS-16 Area,Temple,12.82006,77.68749,STN-KA-BLR-0015,KA-BLR,"Near Bengaluru South PS-16, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000074,Jewellery Shop - Bengaluru South PS-16 Area,Jewellery Shop,12.85909,77.6999,STN-KA-BLR-0015,KA-BLR,"Near Bengaluru South PS-16, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000075,Metro Station - Bengaluru South PS-16 Area,Metro Station,12.86506,77.72204,STN-KA-BLR-0015,KA-BLR,"Near Bengaluru South PS-16, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000076,School - Bengaluru South PS-16 Area,School,12.86103,77.68145,STN-KA-BLR-0015,KA-BLR,"Near Bengaluru South PS-16, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000077,Jewellery Shop - Bengaluru South PS-16 Area,Jewellery Shop,12.84719,77.71021,STN-KA-BLR-0015,KA-BLR,"Near Bengaluru South PS-16, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000078,Market - Bengaluru South PS-16 Area,Market,12.81066,77.70206,STN-KA-BLR-0015,KA-BLR,"Near Bengaluru South PS-16, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000079,Market - Bengaluru South PS-16 Area,Market,12.86341,77.70241,STN-KA-BLR-0015,KA-BLR,"Near Bengaluru South PS-16, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000080,Bank - Bengaluru South PS-16 Area,Bank,12.84483,77.68331,STN-KA-BLR-0015,KA-BLR,"Near Bengaluru South PS-16, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000081,School - Bengaluru South PS-17 Area,School,12.92589,77.72968,STN-KA-BLR-0016,KA-BLR,"Near Bengaluru South PS-17, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000082,Metro Station - Bengaluru South PS-17 Area,Metro Station,12.90091,77.70801,STN-KA-BLR-0016,KA-BLR,"Near Bengaluru South PS-17, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000083,Liquor Store - Bengaluru South PS-17 Area,Liquor Store,12.91186,77.7133,STN-KA-BLR-0016,KA-BLR,"Near Bengaluru South PS-17, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000084,Temple - Bengaluru South PS-17 Area,Temple,12.89547,77.69341,STN-KA-BLR-0016,KA-BLR,"Near Bengaluru South PS-17, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000085,School - Bengaluru South PS-17 Area,School,12.93373,77.71362,STN-KA-BLR-0016,KA-BLR,"Near Bengaluru South PS-17, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000086,School - Bengaluru South PS-17 Area,School,12.92999,77.71116,STN-KA-BLR-0016,KA-BLR,"Near Bengaluru South PS-17, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000087,Jewellery Shop - Bengaluru South PS-18 Area,Jewellery Shop,13.00256,77.47003,STN-KA-BLR-0017,KA-BLR,"Near Bengaluru South PS-18, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000088,Bank - Bengaluru South PS-18 Area,Bank,13.04923,77.45789,STN-KA-BLR-0017,KA-BLR,"Near Bengaluru South PS-18, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000089,Jewellery Shop - Bengaluru South PS-19 Area,Jewellery Shop,13.1848,77.53008,STN-KA-BLR-0018,KA-BLR,"Near Bengaluru South PS-19, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000090,Jewellery Shop - Bengaluru South PS-19 Area,Jewellery Shop,13.16801,77.51955,STN-KA-BLR-0018,KA-BLR,"Near Bengaluru South PS-19, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000091,Jewellery Shop - Bengaluru South PS-19 Area,Jewellery Shop,13.17269,77.48965,STN-KA-BLR-0018,KA-BLR,"Near Bengaluru South PS-19, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000092,Temple - Bengaluru South PS-19 Area,Temple,13.15297,77.53671,STN-KA-BLR-0018,KA-BLR,"Near Bengaluru South PS-19, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000093,Market - Bengaluru South PS-19 Area,Market,13.19992,77.52288,STN-KA-BLR-0018,KA-BLR,"Near Bengaluru South PS-19, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000094,Temple - Bengaluru South PS-19 Area,Temple,13.20299,77.48792,STN-KA-BLR-0018,KA-BLR,"Near Bengaluru South PS-19, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000095,Liquor Store - Bengaluru South PS-20 Area,Liquor Store,13.10257,77.55817,STN-KA-BLR-0019,KA-BLR,"Near Bengaluru South PS-20, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000096,Metro Station - Bengaluru South PS-20 Area,Metro Station,13.11048,77.57658,STN-KA-BLR-0019,KA-BLR,"Near Bengaluru South PS-20, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000097,Liquor Store - Bengaluru South PS-20 Area,Liquor Store,13.13439,77.59049,STN-KA-BLR-0019,KA-BLR,"Near Bengaluru South PS-20, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000098,Bank - Bengaluru South PS-20 Area,Bank,13.14695,77.60265,STN-KA-BLR-0019,KA-BLR,"Near Bengaluru South PS-20, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000099,Jewellery Shop - Bengaluru South PS-20 Area,Jewellery Shop,13.14589,77.60533,STN-KA-BLR-0019,KA-BLR,"Near Bengaluru South PS-20, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000100,Market - Bengaluru South PS-20 Area,Market,13.09883,77.56808,STN-KA-BLR-0019,KA-BLR,"Near Bengaluru South PS-20, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000101,Metro Station - Bengaluru South PS-20 Area,Metro Station,13.11167,77.61008,STN-KA-BLR-0019,KA-BLR,"Near Bengaluru South PS-20, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000102,Temple - Bengaluru East PS-21 Area,Temple,12.98759,77.5429,STN-KA-BLR-0020,KA-BLR,"Near Bengaluru East PS-21, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000103,Liquor Store - Bengaluru East PS-21 Area,Liquor Store,12.98942,77.52398,STN-KA-BLR-0020,KA-BLR,"Near Bengaluru East PS-21, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000104,Jewellery Shop - Bengaluru East PS-21 Area,Jewellery Shop,12.9891,77.54665,STN-KA-BLR-0020,KA-BLR,"Near Bengaluru East PS-21, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000105,School - Bengaluru East PS-21 Area,School,12.97899,77.54133,STN-KA-BLR-0020,KA-BLR,"Near Bengaluru East PS-21, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000106,Metro Station - Bengaluru East PS-21 Area,Metro Station,12.97291,77.56839,STN-KA-BLR-0020,KA-BLR,"Near Bengaluru East PS-21, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000107,Metro Station - Bengaluru East PS-22 Area,Metro Station,13.04603,77.46019,STN-KA-BLR-0021,KA-BLR,"Near Bengaluru East PS-22, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000108,Liquor Store - Bengaluru East PS-22 Area,Liquor Store,13.04181,77.46982,STN-KA-BLR-0021,KA-BLR,"Near Bengaluru East PS-22, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000109,ATM - Bengaluru East PS-22 Area,ATM,13.05389,77.44978,STN-KA-BLR-0021,KA-BLR,"Near Bengaluru East PS-22, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000110,ATM - Bengaluru East PS-22 Area,ATM,13.00853,77.46709,STN-KA-BLR-0021,KA-BLR,"Near Bengaluru East PS-22, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000111,Temple - Bengaluru East PS-22 Area,Temple,13.05132,77.48837,STN-KA-BLR-0021,KA-BLR,"Near Bengaluru East PS-22, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000112,Liquor Store - Bengaluru East PS-22 Area,Liquor Store,13.03546,77.48687,STN-KA-BLR-0021,KA-BLR,"Near Bengaluru East PS-22, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000113,Bank - Bengaluru East PS-22 Area,Bank,13.02925,77.46914,STN-KA-BLR-0021,KA-BLR,"Near Bengaluru East PS-22, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000114,Liquor Store - Bengaluru East PS-22 Area,Liquor Store,13.01956,77.48645,STN-KA-BLR-0021,KA-BLR,"Near Bengaluru East PS-22, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000115,Jewellery Shop - Bengaluru East PS-22 Area,Jewellery Shop,13.00841,77.46779,STN-KA-BLR-0021,KA-BLR,"Near Bengaluru East PS-22, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000116,Market - Bengaluru East PS-23 Area,Market,12.84519,77.39277,STN-KA-BLR-0022,KA-BLR,"Near Bengaluru East PS-23, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000117,ATM - Bengaluru East PS-23 Area,ATM,12.89284,77.39337,STN-KA-BLR-0022,KA-BLR,"Near Bengaluru East PS-23, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000118,Metro Station - Bengaluru East PS-23 Area,Metro Station,12.86922,77.44602,STN-KA-BLR-0022,KA-BLR,"Near Bengaluru East PS-23, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000119,Liquor Store - Bengaluru East PS-23 Area,Liquor Store,12.89453,77.44661,STN-KA-BLR-0022,KA-BLR,"Near Bengaluru East PS-23, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000120,ATM - Bengaluru East PS-23 Area,ATM,12.86827,77.44089,STN-KA-BLR-0022,KA-BLR,"Near Bengaluru East PS-23, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000121,Temple - Bengaluru East PS-24 Area,Temple,12.87662,77.6538,STN-KA-BLR-0023,KA-BLR,"Near Bengaluru East PS-24, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000122,ATM - Bengaluru East PS-24 Area,ATM,12.87152,77.62147,STN-KA-BLR-0023,KA-BLR,"Near Bengaluru East PS-24, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000123,ATM - Bengaluru East PS-24 Area,ATM,12.87479,77.65693,STN-KA-BLR-0023,KA-BLR,"Near Bengaluru East PS-24, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000124,Bank - Bengaluru East PS-24 Area,Bank,12.87971,77.62441,STN-KA-BLR-0023,KA-BLR,"Near Bengaluru East PS-24, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000125,School - Bengaluru East PS-24 Area,School,12.89923,77.64451,STN-KA-BLR-0023,KA-BLR,"Near Bengaluru East PS-24, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000126,Temple - Bengaluru East PS-25 Area,Temple,13.16537,77.79247,STN-KA-BLR-0024,KA-BLR,"Near Bengaluru East PS-25, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000127,Metro Station - Bengaluru East PS-25 Area,Metro Station,13.13897,77.78598,STN-KA-BLR-0024,KA-BLR,"Near Bengaluru East PS-25, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000128,Metro Station - Bengaluru East PS-25 Area,Metro Station,13.18029,77.76571,STN-KA-BLR-0024,KA-BLR,"Near Bengaluru East PS-25, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000129,Jewellery Shop - Bengaluru East PS-25 Area,Jewellery Shop,13.18149,77.81151,STN-KA-BLR-0024,KA-BLR,"Near Bengaluru East PS-25, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000130,Market - Bengaluru East PS-26 Area,Market,13.07471,77.53557,STN-KA-BLR-0025,KA-BLR,"Near Bengaluru East PS-26, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000131,Jewellery Shop - Bengaluru East PS-26 Area,Jewellery Shop,13.04885,77.53469,STN-KA-BLR-0025,KA-BLR,"Near Bengaluru East PS-26, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000132,ATM - Bengaluru East PS-26 Area,ATM,13.05899,77.51752,STN-KA-BLR-0025,KA-BLR,"Near Bengaluru East PS-26, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000133,Temple - Bengaluru East PS-26 Area,Temple,13.03854,77.53529,STN-KA-BLR-0025,KA-BLR,"Near Bengaluru East PS-26, Bengaluru Urban",Unspecified,,0.5,24/7,50
POI-000134,Temple - Bengaluru East PS-26 Area,Temple,13.04752,77.51024,STN-KA-BLR-0025,KA-BLR,"Near Bengaluru East PS-26, Bengaluru Urban",Unspecified,,0.5,24/7,50
