station_id,name,district_id,district_name,taluk,station_type,jurisdiction_area_km2,population_served,officer_quota,latitude,longitude,established_year,is_cyber_cell,is_traffic_cell,phone,address
STN-KA-BLR-0024,Bengaluru East PS-25,KA-BLR,Bengaluru Urban,Bengaluru East,town,109.71,26334,19,12.930473,77.678883,1966,true,false,080-26361002,"Near Bus Stand, Bengaluru East, Bengaluru Urban"
STN-KA-BLR-0025,Bengaluru East PS-26,KA-BLR,Bengaluru Urban,Bengaluru East,city,15.15,160196,44,13.070251,77.60447,1971,false,true,080-25623525,"Near Main Road, Bengaluru East, Bengaluru Urban"
STN-KA-BLR-0026,Bengaluru East PS-27,KA-BLR,Bengaluru Urban,Bengaluru East,city,21.82,62805,45,12.982166,77.754455,1974,false,false,080-26705062,"Near Bus Stand, Bengaluru East, Bengaluru Urban"
STN-KA-BLR-0027,Bengaluru East PS-28,KA-BLR,Bengaluru Urban,Bengaluru East,city,21.4,453725,37,12.98582,77.622962,1965,false,false,080-28910914,"Near Taluk Office, Bengaluru East, Bengaluru Urban"
STN-KA-BLR-0028,Bengaluru West PS-29,KA-BLR,Bengaluru Urban,Bengaluru West,town,116.31,68446,25,12.903677,77.498896,1985,false,false,080-24013879,"Near Taluk Office, Bengaluru West, Bengaluru Urban"
STN-KA-BLR-0029,Bengaluru West PS-30,KA-BLR,Bengaluru Urban,Bengaluru West,town,64.29,20561,17,13.07758,77.682568,1958,false,false,080-27816912,"Near Court Complex, Bengaluru West, Bengaluru Urban"
STN-KA-BLR-0030,Bengaluru West PS-31,KA-BLR,Bengaluru Urban,Bengaluru West,city,10.17,356225,45,12.919445,77.555995,2003,false,false,080-23700025,"Near Court Complex, Bengaluru West, Bengaluru Urban"
STN-KA-BLR-0031,Bengaluru West PS-32,KA-BLR,Bengaluru Urban,Bengaluru West,city,11.82,400682,56,13.192289,77.613649,2000,false,false,080-21408404,"Near Court Complex, Bengaluru West, Bengaluru Urban"
STN-KA-BLR-0032,Bengaluru West PS-33,KA-BLR,Bengaluru Urban,Bengaluru West,city,26.67,221627,40,12.911303,77.780482,2003,false,true,080-20325197,"Near Main Road, Bengaluru West, Bengaluru Urban"
STN-KA-BLR-0033,Bengaluru West PS-34,KA-BLR,Bengaluru Urban,Bengaluru West,town,38.23,14067,10,12.895418,77.589424,1964,false,true,080-24299055,"Near Taluk Office, Bengaluru West, Bengaluru Urban"
STN-KA-BLR-0034,Bengaluru West PS-35,KA-BLR,Bengaluru Urban,Bengaluru West,city,20.15,457786,33,13.171555,77.630319,1998,false,false,080-21275009,"Near Bus Stand, Bengaluru West, Bengaluru Urban"
STN-KA-BLR-0035,Bengaluru West PS-36,KA-BLR,Bengaluru Urban,Bengaluru West,city,22.43,472328,41,13.064609,77.427583,1993,true,false,080-28224219,"Near Main Road, Bengaluru West, Bengaluru Urban"
STN-KA-BLR-0036,Yelahanka PS-37,KA-BLR,Bengaluru Urban,Yelahanka,town,106.27,30052,26,13.046365,77.767847,2011,false,false,080-29940074,"Near Taluk Office, Yelahanka, Bengaluru Urban"
STN-KA-BLR-0037,Yelahanka PS-38,KA-BLR,Bengaluru Urban,Yelahanka,town,129.69,41963,29,12.934559,77.597723,1991,true,true,080-24334434,"Near Taluk Office, Yelahanka, Bengaluru Urban"
STN-KA-BLR-0038,Yelahanka PS-39,KA-BLR,Bengaluru Urban,Yelahanka,city,27.01,55322,32,12.995431,77.703266,2010,false,false,080-20289293,"Near Main Road, Yelahanka, Bengaluru Urban"
STN-KA-BLR-0039,Yelahanka PS-40,KA-BLR,Bengaluru Urban,Yelahanka,city,10.54,354902,47,12.970202,77.698374,1992,false,false,080-25144280,"Near Taluk Office, Yelahanka, Bengaluru Urban"
STN-KA-BLR-0040,Yelahanka PS-41,KA-BLR,Bengaluru Urban,Yelahanka,city,8.02,330947,36,13.089834,77.790643,1986,false,false,080-24970190,"Near Bus Stand, Yelahanka, Bengaluru Urban"
STN-KA-BLR-0041,Yelahanka PS-42,KA-BLR,Bengaluru Urban,Yelahanka,town,31.7,15965,19,13.055148,77.701117,1963,false,false,080-27875173,"Near Court Complex, Yelahanka, Bengaluru Urban"
STN-KA-BLR-0042,Yelahanka PS-43,KA-BLR,Bengaluru Urban,Yelahanka,town,145.86,24953,25,13.030808,77.67458,1969,true,false,080-25097514,"Near Main Road, Yelahanka, Bengaluru Urban"
STN-KA-BLR-0043,Yelahanka PS-44,KA-BLR,Bengaluru Urban,Yelahanka,city,7.96,464575,44,13.144067,77.796013,1989,false,true,080-21664863,"Near Bus Stand, Yelahanka, Bengaluru Urban"
STN-KA-BLR-0044,Rajarajeshwari Nagar PS-45,KA-BLR,Bengaluru Urban,Rajarajeshwari Nagar,city,11.62,339402,30,13.075748,77.587965,1954,false,false,080-27617381,"Near Main Road, Rajarajeshwari Nagar, Bengaluru Urban"
STN-KA-BLR-0045,Rajarajeshwari Nagar PS-46,KA-BLR,Bengaluru Urban,Rajarajeshwari Nagar,city,28.1,396650,33,13.059054,77.763365,1968,true,true,080-25160869,"Near Taluk Office, Rajarajeshwari Nagar, Bengaluru Urban"
STN-KA-BLR-0046,Rajarajeshwari Nagar PS-47,KA-BLR,Bengaluru Urban,Rajarajeshwari Nagar,town,112.64,75597,12,13.155769,77.693814,1982,true,true,080-29650239,"Near Main Road, Rajarajeshwari Nagar, Bengaluru Urban"
STN-KA-BLR-0047,Rajarajeshwari Nagar PS-48,KA-BLR,Bengaluru Urban,Rajarajeshwari Nagar,city,19.41,322086,35,13.053914,77.59669,1961,false,false,080-25386463,"Near Main Road, Rajarajeshwari Nagar, Bengaluru Urban"
STN-KA-BLR-0048,Rajarajeshwari Nagar PS-49,KA-BLR,Bengaluru Urban,Rajarajeshwari Nagar,city,13.25,259952,32,12.92931,77.788074,2001,false,false,080-20019311,"Near Court Complex, Rajarajeshwari Nagar, Bengaluru Urban"
STN-KA-BLR-0049,Rajarajeshwari Nagar PS-50,KA-BLR,Bengaluru Urban,Rajarajeshwari Nagar,town,92.21,67939,18,12.852405,77.515212,2012,true,false,080-24014745,"Near Bus Stand, Rajarajeshwari Nagar, Bengaluru Urban"
STN-KA-BLR-0050,Rajarajeshwari Nagar PS-51,KA-BLR,Bengaluru Urban,Rajarajeshwari Nagar,city,18.77,491138,60,12.99935,77.686641,2015,false,false,080-28094999,"Near Court Complex, Rajarajeshwari Nagar, Bengaluru Urban"
STN-KA-BLR-0051,Rajarajeshwari Nagar PS-52,KA-BLR,Bengaluru Urban,Rajarajeshwari Nagar,city,16.42,364246,57,13.10907,77.741765,1993,false,false,080-20043037,"Near Taluk Office, Rajarajeshwari Nagar, Bengaluru Urban"
STN-KA-BLR-0052,Mahadevapura PS-53,KA-BLR,Bengaluru Urban,Mahadevapura,city,25.94,127906,41,13.105149,77.550884,1991,false,false,080-24006492,"Near Court Complex, Mahadevapura, Bengaluru Urban"
STN-KA-BLR-0053,Mahadevapura PS-54,KA-BLR,Bengaluru Urban,Mahadevapura,city,26.4,297975,51,12.998131,77.414808,2014,false,false,080-21683838,"Near Court Complex, Mahadevapura, Bengaluru Urban"
STN-KA-BLR-0054,Mahadevapura PS-55,KA-BLR,Bengaluru Urban,Mahadevapura,city,18.15,264946,45,13.049304,77.558993,1960,false,false,080-28952696,"Near Court Complex, Mahadevapura, Bengaluru Urban"
STN-KA-BLR-0055,Mahadevapura PS-56,KA-BLR,Bengaluru Urban,Mahadevapura,town,136.49,14705,30,13.19897,77.698707,2005,false,false,080-21686231,"Near Court Complex, Mahadevapura, Bengaluru Urban"
STN-KA-BLR-0056,Mahadevapura PS-57,KA-BLR,Bengaluru Urban,Mahadevapura,city,22.35,467408,41,12.858228,77.612467,1973,true,true,080-26418028,"Near Bus Stand, Mahadevapura, Bengaluru Urban"
STN-KA-BLR-0057,Mahadevapura PS-58,KA-BLR,Bengaluru Urban,Mahadevapura,town,47.17,70236,10,13.160484,77.671044,1970,true,false,080-29857817,"Near Taluk Office, Mahadevapura, Bengaluru Urban"
STN-KA-BLR-0058,Mahadevapura PS-59,KA-BLR,Bengaluru Urban,Mahadevapura,town,84.82,73335,22,13.029925,77.797077,1987,true,false,080-26640518,"Near Taluk Office, Mahadevapura, Bengaluru Urban"
STN-KA-BLR-0059,Mahadevapura PS-60,KA-BLR,Bengaluru Urban,Mahadevapura,city,19.15,75713,54,12.887602,77.476053,1982,false,false,080-22294774,"Near Main Road, Mahadevapura, Bengaluru Urban"
STN-KA-BLR-R-0000,Hosakote Town PS,KA-BLR-R,Bengaluru Rural,Hosakote,town,82.9,27224,19,13.348489,77.370256,1966,false,false,080-26138070,"Near Taluk Office, Hosakote, Bengaluru Rural"
STN-KA-BLR-R-0001,Hosakote PS-2,KA-BLR-R,Bengaluru Rural,Hosakote,town,128.96,48684,13,13.477736,77.356303,1978,false,false,080-26667458,"Near Taluk Office, Hosakote, Bengaluru Rural"
STN-KA-BLR-R-0002,Hosakote PS-3,KA-BLR-R,Bengaluru Rural,Hosakote,town,31.67,58311,22,12.965008,77.393529,1953,false,false,080-25503032,"Near Bus Stand, Hosakote, Bengaluru Rural"
STN-KA-BLR-R-0003,Hosakote PS-4,KA-BLR-R,Bengaluru Rural,Hosakote,town,85.71,63516,11,13.082619,77.49705,1962,false,false,080-26520395,"Near Court Complex, Hosakote, Bengaluru Rural"
STN-KA-BLR-R-0004,Hosakote PS-5,KA-BLR-R,Bengaluru Rural,Hosakote,rural,481.09,16594,11,13.269391,77.675621,1985,true,false,080-27438733,"Near Court Complex, Hosakote, Bengaluru Rural"
STN-KA-BLR-R-0005,Hosakote PS-6,KA-BLR-R,Bengaluru Rural,Hosakote,town,41.92,57012,18,13.480924,77.679604,2008,true,true,080-20358318,"Near Main Road, Hosakote, Bengaluru Rural"
STN-KA-BLR-R-0006,Devanahalli PS-7,KA-BLR-R,Bengaluru Rural,Devanahalli,rural,347.6,10076,9,13.364621,77.615458,1950,false,false,080-22180906,"Near Taluk Office, Devanahalli, Bengaluru Rural"
STN-KA-BLR-R-0007,Devanahalli PS-8,KA-BLR-R,Bengaluru Rural,Devanahalli,town,133.97,41186,15,12.931439,77.596687,1964,false,false,080-26074006,"Near Main Road, Devanahalli, Bengaluru Rural"
STN-KA-BLR-R-0008,Devanahalli PS-9,KA-BLR-R,Bengaluru Rural,Devanahalli,rural,165.18,12883,4,12.936495,77.491593,2001,false,true,080-27441741,"Near Main Road, Devanahalli, Bengaluru Rural"
STN-KA-BLR-R-0009,Devanahalli PS-10,KA-BLR-R,Bengaluru Rural,Devanahalli,town,47.8,52622,26,13.172229,77.542171,1962,false,true,080-29249870,"Near Bus Stand, Devanahalli, Bengaluru Rural"
STN-KA-BLR-R-0010,Doddaballapura PS-11,KA-BLR-R,Bengaluru Rural,Doddaballapura,rural,268.63,16631,9,13.156058,77.566043,1997,false,false,080-27956894,"Near Main Road, Doddaballapura, Bengaluru Rural"
STN-KA-BLR-R-0011,Doddaballapura PS-12,KA-BLR-R,Bengaluru Rural,Doddaballapura,town,41.19,58843,11,13.23701,77.568005,2002,false,false,080-27095702,"Near Main Road, Doddaballapura, Bengaluru Rural"
STN-KA-BLR-R-0012,Doddaballapura PS-13,KA-BLR-R,Bengaluru Rural,Doddaballapura,rural,352.27,18800,9,13.407224,77.447024,1985,false,false,080-29411442,"Near Main Road, Doddaballapura, Bengaluru Rural"
STN-KA-BLR-R-0013,Doddaballapura PS-14,KA-BLR-R,Bengaluru Rural,Doddaballapura,rural,416.84,3200,10,12.941751,77.596388,1953,true,false,080-26311494,"Near Court Complex, Doddaballapura, Bengaluru Rural"
STN-KA-BLR-R-0014,Nelamangala PS-15,KA-BLR-R,Bengaluru Rural,Nelamangala,rural,402.56,4723,4,13.304381,77.408841,2004,false,false,080-24582979,"Near Bus Stand, Nelamangala, Bengaluru Rural"
STN-KA-BLR-R-0015,Nelamangala PS-16,KA-BLR-R,Bengaluru Rural,Nelamangala,town,43.31,73783,17,13.490667,77.321913,1976,false,true,080-22302417,"Near Taluk Office, Nelamangala, Bengaluru Rural"
STN-KA-BLR-R-0016,Nelamangala PS-17,KA-BLR-R,Bengaluru Rural,Nelamangala,rural,411.45,15458,12,13.235234,77.567219,1995,true,false,080-20709714,"Near Court Complex, Nelamangala, Bengaluru Rural"
STN-KA-BLR-R-0017,Nelamangala PS-18,KA-BLR-R,Bengaluru Rural,Nelamangala,town,39.34,63008,13,12.912514,77.429907,2008,false,false,080-21478574,"Near Court Complex, Nelamangala, Bengaluru Rural"
STN-KA-MYS-0000,Mysuru  PS,KA-MYS,Mysuru,Mysuru,city,11.08,257495,37,11.853466,76.769902,2015,true,false,080-25890476,"Near Bus Stand, Mysuru, Mysuru"
STN-KA-MYS-0001,Mysuru PS-2,KA-MYS,Mysuru,Mysuru,town,60.72,19876,30,12.124767,76.707362,2007,false,false,080-25422534,"Near Taluk Office, Mysuru, Mysuru"
STN-KA-MYS-0002,Mysuru PS-3,KA-MYS,Mysuru,Mysuru,town,86.27,46002,26,12.017285,76.606722,1957,false,true,080-21514923,"Near Court Complex, Mysuru, Mysuru"
STN-KA-MYS-0003,Mysuru PS-4,KA-MYS,Mysuru,Mysuru,rural,408.62,9168,11,12.150957,77.06195,2007,true,false,080-25761929,"Near Main Road, Mysuru, Mysuru"
STN-KA-MYS-0004,Mysuru PS-5,KA-MYS,Mysuru,Mysuru,town,114.91,78517,21,12.071192,76.897018,1956,false,false,080-21105817,"Near Taluk Office, Mysuru, Mysuru"
STN-KA-MYS-0005,Mysuru PS-6,KA-MYS,Mysuru,Mysuru,city,18.95,496465,32,12.441723,76.479209,2000,true,false,080-21421349,"Near Taluk Office, Mysuru, Mysuru"
STN-KA-MYS-0006,Nanjangud PS-7,KA-MYS,Mysuru,Nanjangud,rural,194.73,6062,12,12.05328,76.526338,1973,false,false,080-28158272,"Near Bus Stand, Nanjangud, Mysuru"
STN-KA-MYS-0007,Nanjangud PS-8,KA-MYS,Mysuru,Nanjangud,town,48.59,23256,27,11.826423,76.503088,1966,false,true,080-23034091,"Near Bus Stand, Nanjangud, Mysuru"
STN-KA-MYS-0008,Nanjangud PS-9,KA-MYS,Mysuru,Nanjangud,rural,401.85,17710,7,12.016628,76.927761,2010,false,true,080-29570049,"Near Court Complex, Nanjangud, Mysuru"
STN-KA-MYS-0009,Nanjangud PS-10,KA-MYS,Mysuru,Nanjangud,rural,326.02,9543,6,12.411101,76.246962,2011,false,false,080-21721170,"Near Main Road, Nanjangud, Mysuru"
STN-KA-MYS-0010,Hunsur PS-11,KA-MYS,Mysuru,Hunsur,town,49.24,29313,17,12.419241,77.037425,2003,true,false,080-23955699,"Near Court Complex, Hunsur, Mysuru"
STN-KA-MYS-0011,Hunsur PS-12,KA-MYS,Mysuru,Hunsur,city,14.37,489970,34,12.442177,76.625209,1967,false,false,080-20088100,"Near Main Road, Hunsur, Mysuru"
STN-KA-MYS-0012,Hunsur PS-13,KA-MYS,Mysuru,Hunsur,city,11.4,431280,33,12.010806,76.242975,2003,false,false,080-21053729,"Near Main Road, Hunsur, Mysuru"
STN-KA-MYS-0013,Hunsur PS-14,KA-MYS,Mysuru,Hunsur,rural,330.38,12544,9,11.968395,76.574911,1960,false,false,080-28825812,"Near Main Road, Hunsur, Mysuru"
STN-KA-MYS-0014,Heggadadevankote PS-15,KA-MYS,Mysuru,Heggadadevankote,rural,285.41,3532,9,11.968788,76.791394,1963,false,false,080-25578736,"Near Bus Stand, Heggadadevankote, Mysuru"
STN-KA-MYS-0015,Heggadadevankote PS-16,KA-MYS,Mysuru,Heggadadevankote,city,13.81,485360,50,11.84417,76.898571,2008,true,true,080-23346548,"Near Main Road, Heggadadevankote, Mysuru"
STN-KA-MYS-0016,Heggadadevankote PS-17,KA-MYS,Mysuru,Heggadadevankote,town,91.85,72049,30,12.000278,76.975925,1956,false,false,080-22088344,"Near Taluk Office, Heggadadevankote, Mysuru"
STN-KA-MYS-0017,Heggadadevankote PS-18,KA-MYS,Mysuru,Heggadadevankote,rural,463.12,9121,9,12.447017,76.667348,1960,false,true,080-23027557,"Near Taluk Office, Heggadadevankote, Mysuru"
STN-KA-MYS-0018,Periyapatna PS-19,KA-MYS,Mysuru,Periyapatna,town,69.35,65851,24,12.112991,76.854133,1995,false,false,080-20962308,"Near Main Road, Periyapatna, Mysuru"
STN-KA-MYS-0019,Periyapatna PS-20,KA-MYS,Mysuru,Periyapatna,rural,387.79,17358,5,11.965197,76.780647,1996,false,false,080-22574265,"Near Court Complex, Periyapatna, Mysuru"
STN-KA-MYS-0020,Periyapatna PS-21,KA-MYS,Mysuru,Periyapatna,town,121.57,58096,30,11.974728,76.302104,1973,false,false,080-29423304,"Near Main Road, Periyapatna, Mysuru"
STN-KA-MYS-0021,Periyapatna PS-22,KA-MYS,Mysuru,Periyapatna,town,114.48,47431,13,12.396978,76.606838,2006,false,false,080-25361793,"Near Taluk Office, Periyapatna, Mysuru"
STN-KA-MYS-0022,T Narsipur PS-23,KA-MYS,Mysuru,T Narsipur,city,18.75,132578,46,12.489593,76.912859,1980,false,true,080-29294937,"Near Taluk Office, T Narsipur, Mysuru"
STN-KA-MYS-0023,T Narsipur PS-24,KA-MYS,Mysuru,T Narsipur,rural,364.18,13134,12,12.087557,76.56849,1959,true,false,080-21244282,"Near Court Complex, T Narsipur, Mysuru"
STN-KA-MYS-0024,T Narsipur PS-25,KA-MYS,Mysuru,T Narsipur,rural,457.29,7228,4,12.381974,76.666292,1988,true,false,080-23782763,"Near Taluk Office, T Narsipur, Mysuru"
STN-KA-MYS-0025,T Narsipur PS-26,KA-MYS,Mysuru,T Narsipur,town,60.07,45972,19,11.8654,76.776889,1969,true,false,080-25664316,"Near Main Road, T Narsipur, Mysuru"
STN-KA-MYS-0026,Krishnarajanagar PS-27,KA-MYS,Mysuru,Krishnarajanagar,city,7.03,188755,49,12.148627,76.764448,1987,false,false,080-24108369,"Near Court Complex, Krishnarajanagar, Mysuru"
STN-KA-MYS-0027,Krishnarajanagar PS-28,KA-MYS,Mysuru,Krishnarajanagar,town,112.63,73471,20,12.018808,76.846527,1994,false,true,080-26216632,"Near Main Road, Krishnarajanagar, Mysuru"
STN-KA-MYS-0028,Krishnarajanagar PS-29,KA-MYS,Mysuru,Krishnarajanagar,town,44.7,22689,22,11.973789,76.978777,1970,false,false,080-25246485,"Near Bus Stand, Krishnarajanagar, Mysuru"
STN-KA-MYS-0029,Krishnarajanagar PS-30,KA-MYS,Mysuru,Krishnarajanagar,town,91.77,75191,22,12.120061,76.416656,1995,true,true,080-27895137,"Near Taluk Office, Krishnarajanagar, Mysuru"
STN-KA-MGL-0000,Mangaluru  PS,KA-MGL,Dakshina Kannada,Mangaluru,city,26.18,431423,41,12.430695,75.193272,1996,false,true,080-28460003,"Near Court Complex, Mangaluru, Dakshina Kannada"
STN-KA-MGL-0001,Mangaluru PS-2,KA-MGL,Dakshina Kannada,Mangaluru,town,104.79,22672,20,12.963369,75.328476,1975,false,false,080-20675365,"Near Main Road, Mangaluru, Dakshina Kannada"
STN-KA-MGL-0002,Mangaluru PS-3,KA-MGL,Dakshina Kannada,Mangaluru,city,8.43,289593,34,12.497501,75.493431,1988,false,false,080-28551583,"Near Court Complex, Mangaluru, Dakshina Kannada"
STN-KA-MGL-0003,Mangaluru PS-4,KA-MGL,Dakshina Kannada,Mangaluru,town,32.0,64596,30,12.758146,74.985871,1979,false,false,080-22860717,"Near Court Complex, Mangaluru, Dakshina Kannada"
STN-KA-MGL-0004,Mangaluru PS-5,KA-MGL,Dakshina Kannada,Mangaluru,town,59.06,24404,24,12.651268,75.089072,1976,false,false,080-27912226,"Near Main Road, Mangaluru, Dakshina Kannada"
STN-KA-MGL-0005,Bantwal PS-6,KA-MGL,Dakshina Kannada,Bantwal,town,97.31,78875,15,12.947274,75.039629,1995,false,false,080-24435261,"Near Court Complex, Bantwal, Dakshina Kannada"
STN-KA-MGL-0006,Bantwal PS-7,KA-MGL,Dakshina Kannada,Bantwal,town,63.48,47880,25,12.687882,75.192341,1985,false,false,080-29113230,"Near Court Complex, Bantwal, Dakshina Kannada"
STN-KA-MGL-0007,Bantwal PS-8,KA-MGL,Dakshina Kannada,Bantwal,rural,431.62,12425,9,12.954406,75.25918,2011,false,false,080-24548852,"Near Taluk Office, Bantwal, Dakshina Kannada"
STN-KA-MGL-0008,Bantwal PS-9,KA-MGL,Dakshina Kannada,Bantwal,town,118.91,79604,17,12.460119,75.031206,2010,true,false,080-20086930,"Near Bus Stand, Bantwal, Dakshina Kannada"
STN-KA-MGL-0009,Bantwal PS-10,KA-MGL,Dakshina Kannada,Bantwal,rural,316.49,12412,4,12.944762,74.862623,1979,false,false,080-20625760,"Near Bus Stand, Bantwal, Dakshina Kannada"
STN-KA-MGL-0010,Belthangady PS-11,KA-MGL,Dakshina Kannada,Belthangady,rural,471.87,19232,4,12.40556,75.197573,1963,false,false,080-27622712,"Near Court Complex, Belthangady, Dakshina Kannada"
STN-KA-MGL-0011,Belthangady PS-12,KA-MGL,Dakshina Kannada,Belthangady,town,86.16,53343,24,12.831159,74.809859,1993,false,false,080-23240708,"Near Bus Stand, Belthangady, Dakshina Kannada"
STN-KA-MGL-0012,Belthangady PS-13,KA-MGL,Dakshina Kannada,Belthangady,rural,180.36,9054,9,12.961495,74.804781,1999,false,false,080-25530194,"Near Taluk Office, Belthangady, Dakshina Kannada"
STN-KA-MGL-0013,Belthangady PS-14,KA-MGL,Dakshina Kannada,Belthangady,city,11.54,400112,39,12.811644,75.446174,1989,false,false,080-24949909,"Near Taluk Office, Belthangady, Dakshina Kannada"
STN-KA-MGL-0014,Belthangady PS-15,KA-MGL,Dakshina Kannada,Belthangady,town,46.03,58971,27,12.85441,75.361396,1977,false,false,080-29996107,"Near Main Road, Belthangady, Dakshina Kannada"
STN-KA-MGL-0015,Puttur PS-16,KA-MGL,Dakshina Kannada,Puttur,rural,471.04,19563,12,12.489911,75.029682,2006,true,true,080-29783594,"Near Court Complex, Puttur, Dakshina Kannada"
STN-KA-MGL-0016,Puttur PS-17,KA-MGL,Dakshina Kannada,Puttur,city,27.47,119176,44,12.735278,75.270937,1989,false,false,080-20050591,"Near Bus Stand, Puttur, Dakshina Kannada"
