camera_id,latitude,longitude,district_id,station_id,camera_type,resolution,coverage_radius,orientation,field_of_view,installation_height,day_night,operational_status
CAM-000027,13.19638,77.50345,KA-BLR,STN-KA-BLR-0002,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000028,13.17561,77.50278,KA-BLR,STN-KA-BLR-0002,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000029,13.19998,77.53268,KA-BLR,STN-KA-BLR-0002,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000030,13.1979,77.55808,KA-BLR,STN-KA-BLR-0002,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000031,13.19195,77.53385,KA-BLR,STN-KA-BLR-0002,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000032,13.21085,77.53199,KA-BLR,STN-KA-BLR-0002,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000033,13.19912,77.51622,KA-BLR,STN-KA-BLR-0002,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000034,13.19232,77.50858,KA-BLR,STN-KA-BLR-0002,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000035,13.1833,77.5523,KA-BLR,STN-KA-BLR-0002,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000036,13.18078,77.52606,KA-BLR,STN-KA-BLR-0002,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000037,13.16631,77.52081,KA-BLR,STN-KA-BLR-0002,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000038,13.18028,77.55503,KA-BLR,STN-KA-BLR-0002,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000039,13.1872,77.50807,KA-BLR,STN-KA-BLR-0002,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000040,13.20493,77.52199,KA-BLR,STN-KA-BLR-0002,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000041,13.17809,77.50996,KA-BLR,STN-KA-BLR-0002,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000042,13.19094,77.53134,KA-BLR,STN-KA-BLR-0002,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000043,13.20649,77.55989,KA-BLR,STN-KA-BLR-0002,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000044,13.19178,77.53266,KA-BLR,STN-KA-BLR-0002,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000045,13.16786,77.54984,KA-BLR,STN-KA-BLR-0002,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000046,13.21028,77.51608,KA-BLR,STN-KA-BLR-0002,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000047,13.15743,77.52193,KA-BLR,STN-KA-BLR-0002,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000048,13.16808,77.54163,KA-BLR,STN-KA-BLR-0002,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000049,12.93078,77.7223,KA-BLR,STN-KA-BLR-0003,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000050,12.89748,77.73916,KA-BLR,STN-KA-BLR-0003,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000051,12.90324,77.75189,KA-BLR,STN-KA-BLR-0003,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000052,12.95249,77.70471,KA-BLR,STN-KA-BLR-0003,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000053,12.89875,77.72567,KA-BLR,STN-KA-BLR-0003,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000054,12.90825,77.72358,KA-BLR,STN-KA-BLR-0003,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000055,12.90545,77.73523,KA-BLR,STN-KA-BLR-0003,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000056,12.90941,77.75901,KA-BLR,STN-KA-BLR-0003,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000057,12.91091,77.73128,KA-BLR,STN-KA-BLR-0003,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000058,12.95259,77.71114,KA-BLR,STN-KA-BLR-0003,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000059,12.93531,77.74194,KA-BLR,STN-KA-BLR-0003,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000060,12.89597,77.74695,KA-BLR,STN-KA-BLR-0003,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000061,12.92767,77.74679,KA-BLR,STN-KA-BLR-0003,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000062,12.90492,77.70736,KA-BLR,STN-KA-BLR-0003,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000063,13.08984,77.56507,KA-BLR,STN-KA-BLR-0004,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000064,13.10674,77.55585,KA-BLR,STN-KA-BLR-0004,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000065,13.10138,77.60869,KA-BLR,STN-KA-BLR-0004,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000066,13.10427,77.60882,KA-BLR,STN-KA-BLR-0004,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000067,13.13303,77.56265,KA-BLR,STN-KA-BLR-0004,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000068,13.13473,77.56315,KA-BLR,STN-KA-BLR-0004,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000069,13.09665,77.56929,KA-BLR,STN-KA-BLR-0004,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000070,13.12692,77.55644,KA-BLR,STN-KA-BLR-0004,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000071,13.12581,77.602,KA-BLR,STN-KA-BLR-0004,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000072,13.13181,77.55976,KA-BLR,STN-KA-BLR-0004,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000073,13.12553,77.56627,KA-BLR,STN-KA-BLR-0004,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000074,13.13324,77.58126,KA-BLR,STN-KA-BLR-0004,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000075,13.11045,77.56897,KA-BLR,STN-KA-BLR-0004,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000076,13.14092,77.57108,KA-BLR,STN-KA-BLR-0004,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000077,12.89296,77.40881,KA-BLR,STN-KA-BLR-0005,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000078,12.93727,77.4023,KA-BLR,STN-KA-BLR-0005,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000079,12.9505,77.42531,KA-BLR,STN-KA-BLR-0005,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000080,12.92513,77.43598,KA-BLR,STN-KA-BLR-0005,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000081,12.9263,77.40334,KA-BLR,STN-KA-BLR-0005,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000082,12.89397,77.42992,KA-BLR,STN-KA-BLR-0005,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000083,12.92534,77.43773,KA-BLR,STN-KA-BLR-0005,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000084,12.91124,77.40669,KA-BLR,STN-KA-BLR-0005,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000085,12.90539,77.42663,KA-BLR,STN-KA-BLR-0005,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000086,12.89717,77.4129,KA-BLR,STN-KA-BLR-0005,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000087,12.91262,77.44131,KA-BLR,STN-KA-BLR-0005,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000088,12.89302,77.40362,KA-BLR,STN-KA-BLR-0005,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000089,12.92325,77.38695,KA-BLR,STN-KA-BLR-0005,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000090,12.93774,77.38276,KA-BLR,STN-KA-BLR-0005,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000091,12.95042,77.42167,KA-BLR,STN-KA-BLR-0005,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000092,12.90322,77.40732,KA-BLR,STN-KA-BLR-0005,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000093,12.90184,77.4272,KA-BLR,STN-KA-BLR-0005,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000094,12.90322,77.41774,KA-BLR,STN-KA-BLR-0005,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000095,13.09333,77.65284,KA-BLR,STN-KA-BLR-0006,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000096,13.0971,77.65596,KA-BLR,STN-KA-BLR-0006,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000097,13.12879,77.68718,KA-BLR,STN-KA-BLR-0006,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000098,13.09515,77.68431,KA-BLR,STN-KA-BLR-0006,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000099,13.09783,77.65829,KA-BLR,STN-KA-BLR-0006,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000100,13.10967,77.68642,KA-BLR,STN-KA-BLR-0006,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000101,13.08684,77.67996,KA-BLR,STN-KA-BLR-0006,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000102,13.1179,77.66423,KA-BLR,STN-KA-BLR-0006,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000103,13.08488,77.67078,KA-BLR,STN-KA-BLR-0006,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000104,13.13122,77.65226,KA-BLR,STN-KA-BLR-0006,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000105,13.09571,77.66854,KA-BLR,STN-KA-BLR-0006,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000106,13.0856,77.64336,KA-BLR,STN-KA-BLR-0006,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000107,13.09441,77.66087,KA-BLR,STN-KA-BLR-0006,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000108,13.12108,77.68818,KA-BLR,STN-KA-BLR-0006,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000109,13.13915,77.65927,KA-BLR,STN-KA-BLR-0006,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000110,13.12359,77.69087,KA-BLR,STN-KA-BLR-0006,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000111,13.12538,77.68388,KA-BLR,STN-KA-BLR-0006,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000112,13.10286,77.56387,KA-BLR,STN-KA-BLR-0007,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000113,13.0725,77.557,KA-BLR,STN-KA-BLR-0007,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000114,13.06297,77.54879,KA-BLR,STN-KA-BLR-0007,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000115,13.0566,77.55406,KA-BLR,STN-KA-BLR-0007,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000116,13.08409,77.58806,KA-BLR,STN-KA-BLR-0007,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000117,13.10159,77.55595,KA-BLR,STN-KA-BLR-0007,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000118,13.0732,77.60267,KA-BLR,STN-KA-BLR-0007,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000119,13.10539,77.60049,KA-BLR,STN-KA-BLR-0007,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000120,13.07462,77.56305,KA-BLR,STN-KA-BLR-0007,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000121,13.07181,77.58057,KA-BLR,STN-KA-BLR-0007,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000122,13.06843,77.56814,KA-BLR,STN-KA-BLR-0007,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000123,13.18046,77.70778,KA-BLR,STN-KA-BLR-0008,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000124,13.20219,77.71566,KA-BLR,STN-KA-BLR-0008,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000125,13.21279,77.72863,KA-BLR,STN-KA-BLR-0008,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000126,13.17264,77.72668,KA-BLR,STN-KA-BLR-0008,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000127,13.16506,77.69707,KA-BLR,STN-KA-BLR-0008,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000128,13.16687,77.72046,KA-BLR,STN-KA-BLR-0008,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000129,13.21694,77.6944,KA-BLR,STN-KA-BLR-0008,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000130,13.16237,77.69584,KA-BLR,STN-KA-BLR-0008,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000131,13.21416,77.73974,KA-BLR,STN-KA-BLR-0008,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000132,13.20182,77.70365,KA-BLR,STN-KA-BLR-0008,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000133,13.1668,77.68883,KA-BLR,STN-KA-BLR-0008,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000134,13.17636,77.73533,KA-BLR,STN-KA-BLR-0008,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000135,13.20756,77.7377,KA-BLR,STN-KA-BLR-0008,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000136,13.18103,77.73,KA-BLR,STN-KA-BLR-0008,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000137,13.17596,77.69699,KA-BLR,STN-KA-BLR-0008,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000138,13.16295,77.69644,KA-BLR,STN-KA-BLR-0008,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000139,13.21614,77.68283,KA-BLR,STN-KA-BLR-0008,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000140,13.2061,77.72725,KA-BLR,STN-KA-BLR-0008,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000141,13.15156,77.70418,KA-BLR,STN-KA-BLR-0009,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000142,13.14995,77.68481,KA-BLR,STN-KA-BLR-0009,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000143,13.15447,77.67363,KA-BLR,STN-KA-BLR-0009,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000144,13.11655,77.6741,KA-BLR,STN-KA-BLR-0009,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000145,13.12199,77.72248,KA-BLR,STN-KA-BLR-0009,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000146,13.15965,77.6955,KA-BLR,STN-KA-BLR-0009,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000147,13.1332,77.6786,KA-BLR,STN-KA-BLR-0009,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000148,13.12729,77.68842,KA-BLR,STN-KA-BLR-0009,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000149,13.14971,77.73094,KA-BLR,STN-KA-BLR-0009,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000150,13.13768,77.72866,KA-BLR,STN-KA-BLR-0009,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000151,13.16401,77.72936,KA-BLR,STN-KA-BLR-0009,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000152,13.11951,77.72498,KA-BLR,STN-KA-BLR-0009,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000153,13.16815,77.70456,KA-BLR,STN-KA-BLR-0009,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000154,13.16252,77.6967,KA-BLR,STN-KA-BLR-0009,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000155,13.15967,77.69084,KA-BLR,STN-KA-BLR-0009,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000156,13.16759,77.69692,KA-BLR,STN-KA-BLR-0009,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000157,13.1137,77.72105,KA-BLR,STN-KA-BLR-0009,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000158,13.12851,77.72592,KA-BLR,STN-KA-BLR-0009,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000159,12.85373,77.45458,KA-BLR,STN-KA-BLR-0010,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000160,12.86502,77.41813,KA-BLR,STN-KA-BLR-0010,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000161,12.85995,77.45286,KA-BLR,STN-KA-BLR-0010,PUBLIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000162,12.87165,77.42179,KA-BLR,STN-KA-BLR-0010,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000163,12.85096,77.42061,KA-BLR,STN-KA-BLR-0010,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000164,12.88636,77.42574,KA-BLR,STN-KA-BLR-0010,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000165,12.87368,77.4708,KA-BLR,STN-KA-BLR-0010,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000166,12.87527,77.42019,KA-BLR,STN-KA-BLR-0010,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000167,12.83626,77.45133,KA-BLR,STN-KA-BLR-0010,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000168,12.86752,77.42149,KA-BLR,STN-KA-BLR-0010,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000169,12.85985,77.44315,KA-BLR,STN-KA-BLR-0010,TRAFFIC,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000170,12.86879,77.43649,KA-BLR,STN-KA-BLR-0010,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000171,12.87447,77.43151,KA-BLR,STN-KA-BLR-0010,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000172,12.85733,77.43923,KA-BLR,STN-KA-BLR-0010,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000173,12.88519,77.41336,KA-BLR,STN-KA-BLR-0010,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000174,12.87613,77.43787,KA-BLR,STN-KA-BLR-0010,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000175,12.8489,77.46989,KA-BLR,STN-KA-BLR-0010,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000176,12.88474,77.45874,KA-BLR,STN-KA-BLR-0010,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000177,12.83752,77.43256,KA-BLR,STN-KA-BLR-0010,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000178,12.8776,77.42746,KA-BLR,STN-KA-BLR-0010,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000179,12.83941,77.45381,KA-BLR,STN-KA-BLR-0010,PRIVATE,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000180,12.83472,77.45251,KA-BLR,STN-KA-BLR-0010,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000181,12.88506,77.46416,KA-BLR,STN-KA-BLR-0010,PRIVATE,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000182,12.84821,77.44711,KA-BLR,STN-KA-BLR-0010,TRAFFIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000183,12.81247,77.56674,KA-BLR,STN-KA-BLR-0011,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000184,12.82322,77.59502,KA-BLR,STN-KA-BLR-0011,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000185,12.85871,77.59997,KA-BLR,STN-KA-BLR-0011,PUBLIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000186,12.82747,77.58344,KA-BLR,STN-KA-BLR-0011,PUBLIC,4K,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000187,12.85566,77.61209,KA-BLR,STN-KA-BLR-0011,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000188,12.85968,77.58118,KA-BLR,STN-KA-BLR-0011,PRIVATE,1080p,50.0,0.0,90.0,5.0,true,ACTIVE
CAM-000189,12.8345,77.59092,KA-BLR,STN-KA-BLR-0011,TRAFFIC,720p,50.0,0.0,90.0,5.0,true,ACTIVE
