crime_event_id,criminal_id,entry_method,time_slot,target_type,escape_vehicle,weapon,stolen_property,num_offenders,operates_at_night,is_solo,uses_vehicle_escape,is_violent
EVT-CAMP-93919480,CRM-0000064,window_entry,morning_0600_0900,street,public_bus,none,laptop,3,False,False,True,False
EVT-CAMP-95416491,CRM-0000064,digital_access,morning_0600_0900,street,on_foot,country_bomb,laptop,4,False,False,False,True
EVT-CAMP-37550297,CRM-0000118,fake_police,mid_morning_0900_1200,bank,motorcycle,bare_hands,mobile_phone,3,False,False,True,False
EVT-CAMP-68294948,CRM-0000064,window_entry,morning_0600_0900,railway_station,public_bus,bare_hands,cash,1,False,True,True,False
EVT-CAMP-94376779,CRM-0000118,fake_police,mid_morning_0900_1200,bank,motorcycle,bare_hands,mobile_phone,3,True,False,True,False
EVT-22631246,,front_door,early_morning_0400_0600,bank,motorcycle,none,gold_jewellery,1,True,True,True,False
EVT-CAMP-56974003,CRM-0000141,digital_access,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,True,False,False,False
EVT-CAMP-47981198,CRM-0000118,roof_entry,late_night_2200_0400,bank,motorcycle,bare_hands,mobile_phone,3,True,False,True,False
EVT-CAMP-55618620,CRM-0000064,window_entry,afternoon_1200_1600,temple,bicycle,bare_hands,laptop,3,True,False,True,False
EVT-CAMP-58578087,CRM-0000118,fake_police,late_night_2200_0400,bank,motorcycle,acid,mobile_phone,3,True,False,True,True
EVT-CAMP-91811549,CRM-0000064,fake_delivery,morning_0600_0900,street,public_bus,bare_hands,laptop,3,False,False,True,False
EVT-CAMP-80269817,CRM-0000064,window_entry,morning_0600_0900,apartment,public_bus,bare_hands,laptop,3,True,False,True,False
EVT-CAMP-87795130,CRM-0000064,window_entry,morning_0600_0900,atm,public_bus,bare_hands,laptop,3,False,False,True,False
EVT-CAMP-30025254,CRM-0000118,fake_police,late_night_2200_0400,bank,motorcycle,bare_hands,mobile_phone,3,True,False,True,False
EVT-CAMP-36081436,CRM-0000064,window_entry,morning_0600_0900,bus_stand,public_bus,bare_hands,laptop,3,False,False,True,False
EVT-CAMP-22878888,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,2,False,False,False,False
EVT-66666493,,forced_entry,morning_0600_0900,shop,public_bus,rope,none,5,True,False,True,True
EVT-62350695,CRM-0000113,fake_police,mid_morning_0900_1200,bus_stand,on_foot,country_bomb,mixed_valuables,3,False,False,False,True
EVT-CAMP-88937378,CRM-0000064,front_door,mid_morning_0900_1200,street,public_bus,bare_hands,laptop,3,False,False,True,False
EVT-CAMP-80066004,CRM-0000064,window_entry,morning_0600_0900,street,bicycle,bare_hands,laptop,3,True,False,True,False
EVT-CAMP-25202081,CRM-0000118,fake_police,late_night_2200_0400,bank,motorcycle,bare_hands,cash,3,True,False,True,False
EVT-CAMP-64456734,CRM-0000118,fake_police,afternoon_1200_1600,bank,motorcycle,none,mobile_phone,3,True,False,True,False
EVT-86842021,CRM-0000055,fake_police,late_night_2200_0400,school,car,none,mobile_phone,3,True,False,True,False
EVT-CAMP-31732645,CRM-0000064,rear_entry,early_morning_0400_0600,vehicle_parked,public_bus,country_bomb,laptop,3,False,False,True,True
EVT-CAMP-17421697,CRM-0000141,tunneling,mid_morning_0900_1200,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-CAMP-73984691,CRM-0000118,fake_police,late_night_2200_0400,bank,motorcycle,bare_hands,mobile_phone,3,True,False,True,False
EVT-CAMP-56578649,CRM-0000064,window_entry,morning_0600_0900,street,public_bus,iron_rod,laptop,2,False,False,True,True
EVT-CAMP-04874075,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,2,False,False,False,False
EVT-CAMP-32198215,CRM-0000064,window_entry,morning_0600_0900,street,public_bus,bare_hands,laptop,3,False,False,True,False
EVT-CAMP-01793575,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,1,False,True,False,False
EVT-CAMP-16666200,CRM-0000064,window_entry,morning_0600_0900,street,public_bus,acid,laptop,3,False,False,True,True
EVT-01114820,CRM-0000021,open_access,early_morning_0400_0600,bus_stand,motorcycle,firearm,none,4,False,False,True,True
EVT-CAMP-16790714,CRM-0000064,window_entry,morning_0600_0900,street,public_bus,none,laptop,2,False,False,True,False
EVT-CAMP-82381628,CRM-0000141,digital_access,afternoon_1200_1600,bus_stand,unknown,stone,electronics,3,False,False,False,True
EVT-CAMP-82327254,CRM-0000118,fake_police,late_night_2200_0400,bank,motorcycle,bare_hands,mobile_phone,3,True,False,True,False
EVT-CAMP-56771361,CRM-0000064,tunneling,morning_0600_0900,street,public_bus,bare_hands,laptop,4,False,False,True,False
EVT-CAMP-03338179,CRM-0000064,roof_entry,morning_0600_0900,street,public_bus,acid,laptop,3,False,False,True,True
EVT-CAMP-92708520,CRM-0000141,roof_entry,evening_1600_1900,bus_stand,unknown,firearm,vehicle,3,False,False,False,True
EVT-CAMP-02819294,CRM-0000118,fake_police,late_night_2200_0400,bank,on_foot,bare_hands,mobile_phone,3,False,False,False,False
EVT-CAMP-92760239,CRM-0000118,fake_police,evening_1600_1900,bank,motorcycle,bare_hands,laptop,3,True,False,True,False
EVT-74806368,CRM-0000090,window_entry,mid_morning_0900_1200,bank,auto_rickshaw,none,documents,3,True,False,True,False
EVT-CAMP-55155018,CRM-0000064,window_entry,morning_0600_0900,market,public_bus,stone,laptop,3,False,False,True,True
EVT-CAMP-96076706,CRM-0000118,fake_police,late_night_2200_0400,residential_house,motorcycle,none,mobile_phone,3,True,False,True,False
EVT-CAMP-41492714,CRM-0000064,window_entry,morning_0600_0900,vehicle_parked,public_bus,bare_hands,laptop,3,True,False,True,False
EVT-CAMP-05607072,CRM-0000118,front_door,late_night_2200_0400,bank,motorcycle,bare_hands,mobile_phone,3,True,False,True,False
EVT-CAMP-64736818,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,mixed_valuables,1,False,True,True,False
EVT-CAMP-11167482,CRM-0000064,window_entry,morning_0600_0900,street,public_bus,bare_hands,laptop,3,False,False,True,False
EVT-CAMP-68742188,CRM-0000118,forced_entry,late_night_2200_0400,bank,public_bus,bare_hands,laptop,3,True,False,True,False
EVT-CAMP-01300286,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-00516181,CRM-0000206,social_engineering,late_night_2200_0400,atm,car,none,cash,1,False,True,True,False
EVT-CAMP-25202418,CRM-0000064,window_entry,morning_0600_0900,atm,public_bus,bare_hands,laptop,3,False,False,True,False
EVT-CAMP-32486902,CRM-0000118,open_access,late_night_2200_0400,bus_stand,motorcycle,bare_hands,mobile_phone,3,True,False,True,False
EVT-CAMP-33555626,CRM-0000206,social_engineering,evening_1600_1900,bank,car,none,documents,2,False,False,True,False
EVT-CAMP-96790819,CRM-0000064,window_entry,morning_0600_0900,street,on_foot,bare_hands,laptop,3,False,False,False,False
EVT-CAMP-82393920,CRM-0000118,open_access,late_night_2200_0400,bank,bicycle,acid,mobile_phone,3,True,False,True,True
EVT-CAMP-61299663,CRM-0000206,social_engineering,evening_1600_1900,atm,unknown,none,mixed_valuables,1,False,True,False,False
EVT-CAMP-05801983,CRM-0000206,social_engineering,morning_0600_0900,school,car,none,documents,1,False,True,True,False
EVT-CAMP-10435146,CRM-0000064,window_entry,late_night_2200_0400,street,on_foot,bare_hands,laptop,3,True,False,False,False
EVT-CAMP-95039179,CRM-0000118,fake_police,late_night_2200_0400,bank,on_foot,iron_rod,mobile_phone,3,True,False,False,True
EVT-CAMP-97846769,CRM-0000206,social_engineering,evening_1600_1900,atm,unknown,none,documents,1,False,True,False,False
EVT-CAMP-43031276,CRM-0000064,window_entry,morning_0600_0900,bus_stand,unknown,bare_hands,laptop,3,False,False,False,False
EVT-CAMP-25826028,CRM-0000118,fake_police,mid_morning_0900_1200,bank,motorcycle,bare_hands,mobile_phone,3,True,False,True,False
EVT-CAMP-00621875,CRM-0000206,window_entry,evening_1600_1900,atm,car,none,electronics,1,False,True,True,False
EVT-CAMP-14034898,CRM-0000206,social_engineering,evening_1600_1900,vehicle_parked,unknown,none,documents,1,False,True,False,False
EVT-CAMP-06161029,CRM-0000118,fake_police,late_night_2200_0400,bank,motorcycle,bare_hands,mobile_phone,3,True,False,True,False
EVT-CAMP-67273340,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,True,True,True,False
EVT-CAMP-66382779,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,mobile_phone,1,False,True,True,False
EVT-CAMP-26040434,CRM-0000206,social_engineering,evening_1600_1900,school,car,none,laptop,1,False,True,True,False
EVT-80340231,CRM-0000054,open_access,late_night_2200_0400,hospital,motorcycle,none,none,2,True,False,True,False
EVT-CAMP-10937384,CRM-0000118,fake_police,late_night_2200_0400,bus_stand,motorcycle,country_bomb,mobile_phone,3,True,False,True,True
EVT-CAMP-28060419,CRM-0000206,open_access,evening_1600_1900,atm,car,none,electronics,1,False,True,True,False
EVT-CAMP-49484194,CRM-0000206,social_engineering,early_morning_0400_0600,apartment,car,none,documents,1,False,True,True,False
EVT-CAMP-36604806,CRM-0000206,social_engineering,evening_1600_1900,atm,on_foot,knife,documents,1,False,True,False,True
EVT-CAMP-12984519,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-28831219,CRM-0000094,front_door,afternoon_1200_1600,market,car,none,laptop,5,False,False,True,False
EVT-CAMP-19984905,CRM-0000206,social_engineering,evening_1600_1900,atm,motorcycle,none,documents,1,False,True,True,False
EVT-20124788,,roof_entry,mid_morning_0900_1200,market,motorcycle,knife,laptop,2,False,False,True,True
EVT-CAMP-29307361,CRM-0000206,social_engineering,evening_1600_1900,atm,car,iron_rod,documents,1,True,True,True,True
EVT-73842237,CRM-0000004,fake_delivery,afternoon_1200_1600,vehicle_parked,motorcycle,none,gold_jewellery,1,False,True,True,False
EVT-40767840,CRM-0000214,social_engineering,afternoon_1200_1600,bank,unknown,none,gold_jewellery,2,False,False,False,False
EVT-CAMP-38340271,CRM-0000206,social_engineering,early_morning_0400_0600,atm,car,none,documents,1,False,True,True,False
EVT-72258675,CRM-0000049,digital_access,mid_morning_0900_1200,bank,car,none,documents,3,False,False,True,False
EVT-28720357,,open_access,evening_1600_1900,street,bicycle,rope,vehicle,5,True,False,True,True
EVT-CAMP-58932333,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,cash,1,False,True,True,False
EVT-CAMP-76365493,CRM-0000206,social_engineering,evening_1600_1900,apartment,car,country_bomb,documents,1,False,True,True,True
EVT-CAMP-44453317,CRM-0000206,social_engineering,evening_1600_1900,atm,public_bus,none,documents,1,False,True,True,False
EVT-CAMP-13267604,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,cash,1,False,True,True,False
EVT-CAMP-66898826,CRM-0000206,open_access,morning_0600_0900,atm,motorcycle,country_bomb,laptop,1,False,True,True,True
EVT-CAMP-83875968,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,True,True,True,False
EVT-CAMP-67444059,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-06915364,CRM-0000206,rear_entry,afternoon_1200_1600,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-71513203,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,cash,1,False,True,True,False
EVT-CAMP-15768519,CRM-0000206,social_engineering,evening_1600_1900,atm,public_bus,rope,documents,1,False,True,True,True
EVT-CAMP-82374836,CRM-0000206,fake_police,evening_1600_1900,atm,car,firearm,documents,1,False,True,True,True
EVT-88562322,,fake_delivery,late_night_2200_0400,atm,bicycle,country_bomb,documents,1,False,True,True,True
EVT-CAMP-63990348,CRM-0000206,social_engineering,evening_1600_1900,atm,car,acid,mixed_valuables,1,False,True,True,True
EVT-CAMP-81721475,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-64147957,CRM-0000206,social_engineering,evening_1600_1900,railway_station,car,none,documents,1,False,True,True,False
EVT-CAMP-95938093,CRM-0000206,social_engineering,evening_1600_1900,atm,car,iron_rod,documents,2,False,False,True,True
EVT-CAMP-96800278,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-99833484,CRM-0000206,social_engineering,mid_morning_0900_1200,atm,car,none,electronics,1,False,True,True,False
EVT-CAMP-89556093,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-17775648,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-64664249,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-39100357,CRM-0000206,social_engineering,evening_1600_1900,street,car,none,documents,3,False,False,True,False
EVT-CAMP-12604912,CRM-0000206,social_engineering,evening_1600_1900,bank,car,none,documents,1,False,True,True,False
EVT-CAMP-55228654,CRM-0000206,social_engineering,night_1900_2200,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-78914818,CRM-0000206,social_engineering,evening_1600_1900,atm,public_bus,country_bomb,documents,1,False,True,True,True
EVT-CAMP-91995411,CRM-0000141,fake_police,afternoon_1200_1600,bus_stand,bicycle,none,electronics,3,False,False,True,False
EVT-CAMP-46446490,CRM-0000206,digital_access,afternoon_1200_1600,atm,bicycle,none,livestock,1,False,True,True,False
EVT-CAMP-23860489,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,True,True,True,False
EVT-CAMP-37032032,CRM-0000206,social_engineering,afternoon_1200_1600,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-84414725,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,on_foot,none,electronics,3,False,False,False,False
EVT-CAMP-37596014,CRM-0000206,social_engineering,early_morning_0400_0600,vehicle_parked,public_bus,none,documents,1,False,True,True,False
EVT-CAMP-06939769,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,4,False,False,True,False
EVT-CAMP-30385549,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-58963432,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-CAMP-05281529,CRM-0000206,fake_delivery,mid_morning_0900_1200,atm,car,none,documents,2,False,False,True,False
EVT-CAMP-10307286,CRM-0000206,social_engineering,evening_1600_1900,atm,car,stone,documents,1,False,True,True,True
EVT-CAMP-52353485,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,cash,2,False,False,True,False
EVT-CAMP-75474566,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-CAMP-29171310,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-93439380,CRM-0000206,social_engineering,evening_1600_1900,atm,bicycle,none,documents,1,False,True,True,False
EVT-CAMP-35887382,CRM-0000206,social_engineering,evening_1600_1900,atm,car,rope,documents,1,True,True,True,True
EVT-CAMP-00803899,CRM-0000141,roof_entry,evening_1600_1900,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-CAMP-79349930,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-CAMP-41105873,CRM-0000206,social_engineering,evening_1600_1900,atm,on_foot,none,documents,1,True,True,False,False
EVT-CAMP-88696594,CRM-0000206,social_engineering,evening_1600_1900,hospital,car,none,documents,5,False,False,True,False
EVT-CAMP-20920149,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,True,False,False,False
EVT-CAMP-17160344,CRM-0000206,rear_entry,evening_1600_1900,atm,public_bus,none,documents,1,False,True,True,False
EVT-CAMP-49946497,CRM-0000206,social_engineering,evening_1600_1900,atm,motorcycle,none,documents,1,False,True,True,False
EVT-CAMP-63262912,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-CAMP-86347613,CRM-0000206,social_engineering,evening_1600_1900,atm,car,iron_rod,none,1,False,True,True,True
EVT-CAMP-25070865,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,laptop,3,False,False,False,False
EVT-CAMP-80439318,CRM-0000141,roof_entry,morning_0600_0900,bus_stand,unknown,none,electronics,3,False,False,False,False
EVT-CAMP-60471964,CRM-0000141,window_entry,night_1900_2200,street,unknown,knife,electronics,3,False,False,False,True
EVT-CAMP-02983500,CRM-0000141,social_engineering,afternoon_1200_1600,vehicle_parked,unknown,acid,electronics,3,False,False,False,True
EVT-84139508,CRM-0000160,social_engineering,night_1900_2200,residential_house,unknown,none,gold_jewellery,1,True,True,False,False
EVT-CAMP-51879151,CRM-0000206,social_engineering,evening_1600_1900,atm,car,none,documents,1,False,True,True,False
EVT-CAMP-73317712,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,electronics,1,False,True,False,False
EVT-38336783,CRM-0000058,fake_delivery,evening_1600_1900,shop,bicycle,none,none,1,True,True,True,False
EVT-CAMP-00451388,CRM-0000141,roof_entry,afternoon_1200_1600,bus_stand,unknown,none,cash,3,False,False,False,False
EVT-35759790,,fake_police,evening_1600_1900,railway_station,public_bus,stone,mobile_phone,1,True,True,True,True
EVT-21063301,CRM-0000022,digital_access,early_morning_0400_0600,bank,public_bus,none,none,3,True,False,True,False
