ping_id,phone_id,tower_id,timestamp,signal_strength
PING-00000046,PHN-00004091,TOW-01948,2021-01-05T22:08:00,-71
PING-00000047,PHN-00004091,TOW-01948,2021-01-05T22:23:00,-61
PING-00000048,PHN-00004091,TOW-01948,2021-01-05T22:38:00,-59
PING-00000049,PHN-00004091,TOW-01948,2021-01-05T22:53:00,-74
PING-00000050,PHN-00004091,TOW-01948,2021-01-05T23:08:00,-64
PING-00000051,PHN-00004091,TOW-01948,2021-01-05T23:23:00,-83
PING-00000052,PHN-00004091,TOW-01948,2021-01-05T23:38:00,-77
PING-00000053,PHN-00004091,TOW-01948,2021-01-05T23:53:00,-56
PING-00000054,PHN-00003561,TOW-03037,2021-01-06T05:11:00,-53
PING-00000055,PHN-00003561,TOW-03037,2021-01-06T05:26:00,-52
PING-00000056,PHN-00003561,TOW-03037,2021-01-06T05:41:00,-53
PING-00000057,PHN-00003561,TOW-03037,2021-01-06T05:56:00,-64
PING-00000058,PHN-00003561,TOW-03037,2021-01-06T06:11:00,-100
PING-00000059,PHN-00003561,TOW-03037,2021-01-06T06:26:00,-93
PING-00000060,PHN-00003561,TOW-03037,2021-01-06T06:41:00,-60
PING-00000061,PHN-00003561,TOW-03039,2021-01-06T06:56:00,-85
PING-00000062,PHN-00003561,TOW-03039,2021-01-06T07:11:00,-94
PING-00000063,PHN-00003150,TOW-00018,2021-01-06T05:20:00,-60
PING-00000064,PHN-00003150,TOW-00018,2021-01-06T05:35:00,-64
PING-00000065,PHN-00003150,TOW-00018,2021-01-06T05:50:00,-74
PING-00000066,PHN-00003150,TOW-00018,2021-01-06T06:05:00,-90
PING-00000067,PHN-00003150,TOW-00018,2021-01-06T06:20:00,-91
PING-00000068,PHN-00003150,TOW-00018,2021-01-06T06:35:00,-78
PING-00000069,PHN-00003150,TOW-00016,2021-01-06T06:50:00,-84
PING-00000070,PHN-00003150,TOW-00016,2021-01-06T07:05:00,-82
PING-00000071,PHN-00003150,TOW-00014,2021-01-06T07:20:00,-100
PING-00000072,PHN-00002448,TOW-01215,2021-01-07T08:00:00,-95
PING-00000073,PHN-00002448,TOW-01215,2021-01-07T08:15:00,-90
PING-00000074,PHN-00002448,TOW-01215,2021-01-07T08:30:00,-61
PING-00000075,PHN-00002448,TOW-01215,2021-01-07T08:45:00,-97
PING-00000076,PHN-00002448,TOW-01215,2021-01-07T09:00:00,-90
PING-00000077,PHN-00002448,TOW-01215,2021-01-07T09:15:00,-67
PING-00000078,PHN-00002448,TOW-01215,2021-01-07T09:30:00,-96
PING-00000079,PHN-00002448,TOW-01215,2021-01-07T09:45:00,-96
PING-00000080,PHN-00002448,TOW-01215,2021-01-07T10:00:00,-86
PING-00000081,PHN-00000258,TOW-00217,2021-01-08T21:01:00,-67
PING-00000082,PHN-00000258,TOW-00217,2021-01-08T21:16:00,-79
PING-00000083,PHN-00000258,TOW-00216,2021-01-08T21:31:00,-97
PING-00000084,PHN-00000258,TOW-00216,2021-01-08T21:46:00,-84
PING-00000085,PHN-00000258,TOW-00216,2021-01-08T22:01:00,-52
PING-00000086,PHN-00000258,TOW-00216,2021-01-08T22:16:00,-56
PING-00000087,PHN-00000258,TOW-00215,2021-01-08T22:31:00,-96
PING-00000088,PHN-00000258,TOW-00215,2021-01-08T22:46:00,-90
PING-00000089,PHN-00000258,TOW-00215,2021-01-08T23:01:00,-75
PING-00000090,PHN-00002448,TOW-01196,2021-01-09T11:02:00,-88
PING-00000091,PHN-00002448,TOW-01196,2021-01-09T11:17:00,-79
PING-00000092,PHN-00002448,TOW-01196,2021-01-09T11:32:00,-67
PING-00000093,PHN-00002448,TOW-01196,2021-01-09T11:47:00,-62
PING-00000094,PHN-00002448,TOW-01196,2021-01-09T12:02:00,-59
PING-00000095,PHN-00002448,TOW-01196,2021-01-09T12:17:00,-97
PING-00000096,PHN-00002448,TOW-01196,2021-01-09T12:32:00,-60
PING-00000097,PHN-00002448,TOW-01196,2021-01-09T12:47:00,-68
PING-00000098,PHN-00002448,TOW-01196,2021-01-09T13:02:00,-98
PING-00000099,PHN-00003146,TOW-00914,2021-01-09T19:51:00,-73
PING-00000100,PHN-00003146,TOW-00918,2021-01-09T20:06:00,-71
PING-00000101,PHN-00003146,TOW-00918,2021-01-09T20:21:00,-66
PING-00000102,PHN-00003146,TOW-00918,2021-01-09T20:36:00,-90
PING-00000103,PHN-00003146,TOW-00919,2021-01-09T20:51:00,-73
PING-00000104,PHN-00003146,TOW-00919,2021-01-09T21:06:00,-96
PING-00000105,PHN-00003146,TOW-00919,2021-01-09T21:21:00,-96
PING-00000106,PHN-00003146,TOW-00919,2021-01-09T21:36:00,-59
PING-00000107,PHN-00003146,TOW-00919,2021-01-09T21:51:00,-53
PING-00000108,PHN-00002865,TOW-00684,2021-01-09T08:05:00,-58
PING-00000109,PHN-00002865,TOW-00684,2021-01-09T08:20:00,-91
PING-00000110,PHN-00002865,TOW-00684,2021-01-09T08:35:00,-59
PING-00000111,PHN-00002865,TOW-00684,2021-01-09T08:50:00,-56
PING-00000112,PHN-00002865,TOW-00686,2021-01-09T09:05:00,-73
PING-00000113,PHN-00002865,TOW-00686,2021-01-09T09:20:00,-97
PING-00000114,PHN-00002865,TOW-00684,2021-01-09T09:35:00,-56
PING-00000115,PHN-00002865,TOW-00684,2021-01-09T09:50:00,-71
PING-00000116,PHN-00002865,TOW-00684,2021-01-09T10:05:00,-86
PING-00000117,PHN-00001816,TOW-00757,2021-01-10T08:12:00,-99
PING-00000118,PHN-00001816,TOW-00757,2021-01-10T08:27:00,-81
PING-00000119,PHN-00001816,TOW-00754,2021-01-10T08:42:00,-64
PING-00000120,PHN-00001816,TOW-00754,2021-01-10T08:57:00,-68
PING-00000121,PHN-00001816,TOW-00754,2021-01-10T09:12:00,-90
PING-00000122,PHN-00001816,TOW-00754,2021-01-10T09:27:00,-98
PING-00000123,PHN-00001816,TOW-00754,2021-01-10T09:42:00,-89
PING-00000124,PHN-00001816,TOW-00754,2021-01-10T09:57:00,-76
PING-00000125,PHN-00001816,TOW-00754,2021-01-10T10:12:00,-57
PING-00000126,PHN-00000603,TOW-03185,2021-01-11T04:49:00,-58
PING-00000127,PHN-00000603,TOW-03185,2021-01-11T05:04:00,-97
PING-00000128,PHN-00000603,TOW-03185,2021-01-11T05:19:00,-55
PING-00000129,PHN-00000603,TOW-03185,2021-01-11T05:34:00,-68
PING-00000130,PHN-00000603,TOW-03185,2021-01-11T05:49:00,-79
PING-00000131,PHN-00000603,TOW-03185,2021-01-11T06:04:00,-74
PING-00000132,PHN-00000603,TOW-03185,2021-01-11T06:19:00,-94
PING-00000133,PHN-00000603,TOW-03185,2021-01-11T06:34:00,-74
PING-00000134,PHN-00000603,TOW-03185,2021-01-11T06:49:00,-91
PING-00000135,PHN-00001110,TOW-00745,2021-01-11T22:56:00,-51
PING-00000136,PHN-00001110,TOW-00745,2021-01-11T23:11:00,-52
PING-00000137,PHN-00001110,TOW-00745,2021-01-11T23:26:00,-60
PING-00000138,PHN-00001110,TOW-00745,2021-01-11T23:41:00,-51
PING-00000139,PHN-00001110,TOW-00745,2021-01-11T23:56:00,-79
PING-00000140,PHN-00001110,TOW-00745,2021-01-12T00:11:00,-88
PING-00000141,PHN-00001110,TOW-00745,2021-01-12T00:26:00,-94
PING-00000142,PHN-00001110,TOW-00745,2021-01-12T00:41:00,-99
PING-00000143,PHN-00001110,TOW-00745,2021-01-12T00:56:00,-99
PING-00000144,PHN-00002448,TOW-01156,2021-01-12T11:19:00,-61
PING-00000145,PHN-00002448,TOW-01156,2021-01-12T11:34:00,-81
PING-00000146,PHN-00002448,TOW-01156,2021-01-12T11:49:00,-60
PING-00000147,PHN-00002448,TOW-01156,2021-01-12T12:04:00,-99
PING-00000148,PHN-00002448,TOW-01156,2021-01-12T12:19:00,-73
PING-00000149,PHN-00002448,TOW-01156,2021-01-12T12:34:00,-69
PING-00000150,PHN-00002448,TOW-01156,2021-01-12T12:49:00,-55
PING-00000151,PHN-00002448,TOW-01156,2021-01-12T13:04:00,-99
PING-00000152,PHN-00002448,TOW-01156,2021-01-12T13:19:00,-65
PING-00000153,PHN-00000603,TOW-03142,2021-01-12T05:51:00,-97
PING-00000154,PHN-00000603,TOW-03142,2021-01-12T06:06:00,-86
PING-00000155,PHN-00000603,TOW-03142,2021-01-12T06:21:00,-82
PING-00000156,PHN-00000603,TOW-03142,2021-01-12T06:36:00,-100
PING-00000157,PHN-00000603,TOW-03142,2021-01-12T06:51:00,-64
PING-00000158,PHN-00000603,TOW-03142,2021-01-12T07:06:00,-58
PING-00000159,PHN-00000603,TOW-03140,2021-01-12T07:21:00,-100
PING-00000160,PHN-00000603,TOW-03140,2021-01-12T07:36:00,-92
PING-00000161,PHN-00000603,TOW-03140,2021-01-12T07:51:00,-89
PING-00000162,PHN-00003025,TOW-00250,2021-01-12T22:52:00,-69
PING-00000163,PHN-00003025,TOW-00250,2021-01-12T23:07:00,-92
PING-00000164,PHN-00003025,TOW-00250,2021-01-12T23:22:00,-73
PING-00000165,PHN-00003025,TOW-00250,2021-01-12T23:37:00,-99
PING-00000166,PHN-00003025,TOW-00250,2021-01-12T23:52:00,-91
PING-00000167,PHN-00003025,TOW-00250,2021-01-13T00:07:00,-92
PING-00000168,PHN-00003025,TOW-00250,2021-01-13T00:22:00,-88
PING-00000169,PHN-00003025,TOW-00250,2021-01-13T00:37:00,-84
PING-00000170,PHN-00003025,TOW-00250,2021-01-13T00:52:00,-84
PING-00000171,PHN-00002448,TOW-01201,2021-01-13T11:33:00,-78
PING-00000172,PHN-00002448,TOW-01201,2021-01-13T11:48:00,-69
PING-00000173,PHN-00002448,TOW-01201,2021-01-13T12:03:00,-52
PING-00000174,PHN-00002448,TOW-01201,2021-01-13T12:18:00,-59
PING-00000175,PHN-00002448,TOW-01203,2021-01-13T12:33:00,-100
PING-00000176,PHN-00002448,TOW-01203,2021-01-13T12:48:00,-70
PING-00000177,PHN-00002448,TOW-01203,2021-01-13T13:03:00,-79
PING-00000178,PHN-00002448,TOW-01203,2021-01-13T13:18:00,-68
PING-00000179,PHN-00002448,TOW-01203,2021-01-13T13:33:00,-61
PING-00000180,PHN-00000603,TOW-03046,2021-01-13T05:58:00,-67
PING-00000181,PHN-00000603,TOW-03046,2021-01-13T06:13:00,-80
PING-00000182,PHN-00000603,TOW-03047,2021-01-13T06:28:00,-51
PING-00000183,PHN-00000603,TOW-03047,2021-01-13T06:43:00,-51
PING-00000184,PHN-00000603,TOW-03047,2021-01-13T06:58:00,-93
PING-00000185,PHN-00000603,TOW-03046,2021-01-13T07:13:00,-52
PING-00000186,PHN-00000603,TOW-03046,2021-01-13T07:28:00,-79
PING-00000187,PHN-00000603,TOW-03046,2021-01-13T07:43:00,-63
PING-00000188,PHN-00000603,TOW-03046,2021-01-13T07:58:00,-55
PING-00000189,PHN-00001429,TOW-03036,2021-01-13T21:23:00,-96
PING-00000190,PHN-00001429,TOW-03036,2021-01-13T21:38:00,-78
PING-00000191,PHN-00001429,TOW-03036,2021-01-13T21:53:00,-90
PING-00000192,PHN-00001429,TOW-03038,2021-01-13T22:08:00,-74
PING-00000193,PHN-00001429,TOW-03038,2021-01-13T22:23:00,-78
PING-00000194,PHN-00001429,TOW-03038,2021-01-13T22:38:00,-86
PING-00000195,PHN-00001429,TOW-03038,2021-01-13T22:53:00,-89
PING-00000196,PHN-00001429,TOW-03038,2021-01-13T23:08:00,-90
PING-00000197,PHN-00001429,TOW-03038,2021-01-13T23:23:00,-93
PING-00000198,PHN-00000603,TOW-03074,2021-01-14T05:21:00,-83
PING-00000199,PHN-00000603,TOW-03074,2021-01-14T05:36:00,-93
PING-00000200,PHN-00000603,TOW-03074,2021-01-14T05:51:00,-53
PING-00000201,PHN-00000603,TOW-03074,2021-01-14T06:06:00,-52
PING-00000202,PHN-00000603,TOW-03071,2021-01-14T06:21:00,-99
PING-00000203,PHN-00000603,TOW-03071,2021-01-14T06:36:00,-85
PING-00000204,PHN-00000603,TOW-03071,2021-01-14T06:51:00,-96
PING-00000205,PHN-00000603,TOW-03071,2021-01-14T07:06:00,-81
PING-00000206,PHN-00000603,TOW-03071,2021-01-14T07:21:00,-99
PING-00000207,PHN-00003180,TOW-02929,2021-01-14T18:59:00,-75
PING-00000208,PHN-00003180,TOW-02925,2021-01-14T19:14:00,-87
PING-00000209,PHN-00003180,TOW-02925,2021-01-14T19:29:00,-59
PING-00000210,PHN-00003180,TOW-02925,2021-01-14T19:44:00,-58
PING-00000211,PHN-00003180,TOW-02925,2021-01-14T19:59:00,-55
PING-00000212,PHN-00003180,TOW-02925,2021-01-14T20:14:00,-70
PING-00000213,PHN-00003180,TOW-02928,2021-01-14T20:29:00,-78
PING-00000214,PHN-00003180,TOW-02928,2021-01-14T20:44:00,-93
PING-00000215,PHN-00003180,TOW-02928,2021-01-14T20:59:00,-52
PING-00000216,PHN-00003619,TOW-00293,2021-01-14T05:33:00,-56
PING-00000217,PHN-00003619,TOW-00292,2021-01-14T05:48:00,-92
PING-00000218,PHN-00003619,TOW-00292,2021-01-14T06:03:00,-98
PING-00000219,PHN-00003619,TOW-00292,2021-01-14T06:18:00,-51
PING-00000220,PHN-00003619,TOW-00292,2021-01-14T06:33:00,-77
PING-00000221,PHN-00003619,TOW-00292,2021-01-14T06:48:00,-67
PING-00000222,PHN-00003619,TOW-00292,2021-01-14T07:03:00,-96
PING-00000223,PHN-00003619,TOW-00292,2021-01-14T07:18:00,-94
PING-00000224,PHN-00003619,TOW-00292,2021-01-14T07:33:00,-63
PING-00000225,PHN-00002448,TOW-01214,2021-01-15T13:23:00,-65
PING-00000226,PHN-00002448,TOW-01214,2021-01-15T13:38:00,-55
PING-00000227,PHN-00002448,TOW-01214,2021-01-15T13:53:00,-51
PING-00000228,PHN-00002448,TOW-01214,2021-01-15T14:08:00,-57
PING-00000229,PHN-00002448,TOW-01214,2021-01-15T14:23:00,-55
PING-00000230,PHN-00002448,TOW-01211,2021-01-15T14:38:00,-85
PING-00000231,PHN-00002448,TOW-01213,2021-01-15T14:53:00,-56
PING-00000232,PHN-00002448,TOW-01213,2021-01-15T15:08:00,-95
PING-00000233,PHN-00002448,TOW-01210,2021-01-15T15:23:00,-92
PING-00000234,PHN-00000603,TOW-03119,2021-01-15T04:24:00,-67
PING-00000235,PHN-00000603,TOW-03119,2021-01-15T04:39:00,-86
PING-00000236,PHN-00000603,TOW-03119,2021-01-15T04:54:00,-88
PING-00000237,PHN-00000603,TOW-03119,2021-01-15T05:09:00,-91
PING-00000238,PHN-00000603,TOW-03119,2021-01-15T05:24:00,-84
PING-00000239,PHN-00000603,TOW-03119,2021-01-15T05:39:00,-83
PING-00000240,PHN-00000603,TOW-03119,2021-01-15T05:54:00,-58
PING-00000241,PHN-00000603,TOW-03119,2021-01-15T06:09:00,-84
PING-00000242,PHN-00000603,TOW-03119,2021-01-15T06:24:00,-96
PING-00000243,PHN-00000603,TOW-03142,2021-01-16T05:21:00,-95
PING-00000244,PHN-00000603,TOW-03142,2021-01-16T05:36:00,-100
PING-00000245,PHN-00000603,TOW-03140,2021-01-16T05:51:00,-95
PING-00000246,PHN-00000603,TOW-03140,2021-01-16T06:06:00,-69
PING-00000247,PHN-00000603,TOW-03138,2021-01-16T06:21:00,-59
PING-00000248,PHN-00000603,TOW-03138,2021-01-16T06:36:00,-55
PING-00000249,PHN-00000603,TOW-03138,2021-01-16T06:51:00,-69
PING-00000250,PHN-00000603,TOW-03138,2021-01-16T07:06:00,-90
PING-00000251,PHN-00000603,TOW-03138,2021-01-16T07:21:00,-73
PING-00000252,PHN-00000603,TOW-03182,2021-01-17T03:07:00,-94
PING-00000253,PHN-00000603,TOW-03182,2021-01-17T03:22:00,-62
PING-00000254,PHN-00000603,TOW-03182,2021-01-17T03:37:00,-58
PING-00000255,PHN-00000603,TOW-03182,2021-01-17T03:52:00,-71
PING-00000256,PHN-00000603,TOW-03182,2021-01-17T04:07:00,-88
PING-00000257,PHN-00000603,TOW-03182,2021-01-17T04:22:00,-86
PING-00000258,PHN-00000603,TOW-03182,2021-01-17T04:37:00,-66
PING-00000259,PHN-00000603,TOW-03182,2021-01-17T04:52:00,-56
PING-00000260,PHN-00000603,TOW-03182,2021-01-17T05:07:00,-78
PING-00000261,PHN-00000532,TOW-00283,2021-01-17T06:35:00,-91
PING-00000262,PHN-00000532,TOW-00283,2021-01-17T06:50:00,-80
PING-00000263,PHN-00000532,TOW-00283,2021-01-17T07:05:00,-62
PING-00000264,PHN-00000532,TOW-00280,2021-01-17T07:20:00,-62
PING-00000265,PHN-00000532,TOW-00280,2021-01-17T07:35:00,-75
PING-00000266,PHN-00000532,TOW-00280,2021-01-17T07:50:00,-73
PING-00000267,PHN-00000532,TOW-00282,2021-01-17T08:05:00,-90
PING-00000268,PHN-00000532,TOW-00282,2021-01-17T08:20:00,-63
PING-00000269,PHN-00000532,TOW-00282,2021-01-17T08:35:00,-87
PING-00000270,PHN-00000776,TOW-00024,2021-01-18T17:02:00,-87
PING-00000271,PHN-00000776,TOW-00024,2021-01-18T17:17:00,-73
PING-00000272,PHN-00000776,TOW-00024,2021-01-18T17:32:00,-64
PING-00000273,PHN-00000776,TOW-00027,2021-01-18T17:47:00,-96
PING-00000274,PHN-00000776,TOW-00027,2021-01-18T18:02:00,-100
PING-00000275,PHN-00000776,TOW-00026,2021-01-18T18:17:00,-81
PING-00000276,PHN-00000776,TOW-00026,2021-01-18T18:32:00,-68
PING-00000277,PHN-00000776,TOW-00022,2021-01-18T18:47:00,-80
PING-00000278,PHN-00000776,TOW-00022,2021-01-18T19:02:00,-96
PING-00000279,PHN-00000603,TOW-03169,2021-01-19T03:25:00,-65
PING-00000280,PHN-00000603,TOW-03169,2021-01-19T03:40:00,-96
PING-00000281,PHN-00000603,TOW-03171,2021-01-19T03:55:00,-76
PING-00000282,PHN-00000603,TOW-03171,2021-01-19T04:10:00,-77
PING-00000283,PHN-00000603,TOW-03171,2021-01-19T04:25:00,-78
PING-00000284,PHN-00000603,TOW-03171,2021-01-19T04:40:00,-66
PING-00000285,PHN-00000603,TOW-03171,2021-01-19T04:55:00,-73
PING-00000286,PHN-00000603,TOW-03171,2021-01-19T05:10:00,-90
PING-00000287,PHN-00000603,TOW-03170,2021-01-19T05:25:00,-73
PING-00000288,PHN-00000603,TOW-03058,2021-01-20T09:14:00,-75
PING-00000289,PHN-00000603,TOW-03058,2021-01-20T09:29:00,-54
PING-00000290,PHN-00000603,TOW-03058,2021-01-20T09:44:00,-81
PING-00000291,PHN-00000603,TOW-03057,2021-01-20T09:59:00,-57
PING-00000292,PHN-00000603,TOW-03057,2021-01-20T10:14:00,-67
PING-00000293,PHN-00000603,TOW-03057,2021-01-20T10:29:00,-67
PING-00000294,PHN-00000603,TOW-03057,2021-01-20T10:44:00,-97
PING-00000295,PHN-00000603,TOW-03057,2021-01-20T10:59:00,-81
PING-00000296,PHN-00000603,TOW-03057,2021-01-20T11:14:00,-91
PING-00000297,PHN-00000553,TOW-03183,2021-01-20T06:32:00,-76
PING-00000298,PHN-00000553,TOW-03183,2021-01-20T06:47:00,-56
PING-00000299,PHN-00000553,TOW-03183,2021-01-20T07:02:00,-98
PING-00000300,PHN-00000553,TOW-03183,2021-01-20T07:17:00,-76
PING-00000301,PHN-00000553,TOW-03183,2021-01-20T07:32:00,-77
PING-00000302,PHN-00000553,TOW-03183,2021-01-20T07:47:00,-51
PING-00000303,PHN-00000553,TOW-03183,2021-01-20T08:02:00,-90
PING-00000304,PHN-00000553,TOW-03183,2021-01-20T08:17:00,-53
PING-00000305,PHN-00000553,TOW-03183,2021-01-20T08:32:00,-67
PING-00000306,PHN-00002586,TOW-01207,2021-01-20T22:45:00,-60
PING-00000307,PHN-00002586,TOW-01207,2021-01-20T23:00:00,-65
PING-00000308,PHN-00002586,TOW-01208,2021-01-20T23:15:00,-89
PING-00000309,PHN-00002586,TOW-01208,2021-01-20T23:30:00,-95
PING-00000310,PHN-00002586,TOW-01208,2021-01-20T23:45:00,-57
PING-00000311,PHN-00002586,TOW-01208,2021-01-21T00:00:00,-77
PING-00000312,PHN-00002586,TOW-01208,2021-01-21T00:15:00,-86
PING-00000313,PHN-00002586,TOW-01208,2021-01-21T00:30:00,-80
PING-00000314,PHN-00002586,TOW-01208,2021-01-21T00:45:00,-72
PING-00000315,PHN-00000603,TOW-03104,2021-01-21T15:10:00,-70
PING-00000316,PHN-00000603,TOW-03104,2021-01-21T15:25:00,-54
PING-00000317,PHN-00000603,TOW-03104,2021-01-21T15:40:00,-82
PING-00000318,PHN-00000603,TOW-03105,2021-01-21T15:55:00,-54
PING-00000319,PHN-00000603,TOW-03105,2021-01-21T16:10:00,-71
PING-00000320,PHN-00000603,TOW-03105,2021-01-21T16:25:00,-92
PING-00000321,PHN-00000603,TOW-03105,2021-01-21T16:40:00,-59
PING-00000322,PHN-00000603,TOW-03106,2021-01-21T16:55:00,-55
PING-00000323,PHN-00000603,TOW-03106,2021-01-21T17:10:00,-61
PING-00000324,PHN-00001534,TOW-00021,2021-01-21T04:20:00,-84
PING-00000325,PHN-00001534,TOW-00021,2021-01-21T04:35:00,-88
PING-00000326,PHN-00001534,TOW-00021,2021-01-21T04:50:00,-90
PING-00000327,PHN-00001534,TOW-00021,2021-01-21T05:05:00,-91
PING-00000328,PHN-00001534,TOW-00021,2021-01-21T05:20:00,-69
PING-00000329,PHN-00001534,TOW-00021,2021-01-21T05:35:00,-56
PING-00000330,PHN-00001534,TOW-00021,2021-01-21T05:50:00,-54
PING-00000331,PHN-00001534,TOW-00021,2021-01-21T06:05:00,-89
PING-00000332,PHN-00001534,TOW-00021,2021-01-21T06:20:00,-84
PING-00000333,PHN-00004083,TOW-02011,2021-01-21T06:54:00,-88
PING-00000334,PHN-00004083,TOW-02011,2021-01-21T07:09:00,-80
PING-00000335,PHN-00004083,TOW-02011,2021-01-21T07:24:00,-76
PING-00000336,PHN-00004083,TOW-02011,2021-01-21T07:39:00,-61
PING-00000337,PHN-00004083,TOW-02011,2021-01-21T07:54:00,-82
PING-00000338,PHN-00004083,TOW-02011,2021-01-21T08:09:00,-51
PING-00000339,PHN-00004083,TOW-02011,2021-01-21T08:24:00,-80
PING-00000340,PHN-00004083,TOW-02011,2021-01-21T08:39:00,-65
PING-00000341,PHN-00004083,TOW-02011,2021-01-21T08:54:00,-63
PING-00000342,PHN-00000603,TOW-03072,2021-01-22T04:57:00,-60
PING-00000343,PHN-00000603,TOW-03072,2021-01-22T05:12:00,-88
PING-00000344,PHN-00000603,TOW-03072,2021-01-22T05:27:00,-100
PING-00000345,PHN-00000603,TOW-03072,2021-01-22T05:42:00,-76
PING-00000346,PHN-00000603,TOW-03072,2021-01-22T05:57:00,-82
PING-00000347,PHN-00000603,TOW-03072,2021-01-22T06:12:00,-67
PING-00000348,PHN-00000603,TOW-03072,2021-01-22T06:27:00,-85
PING-00000349,PHN-00000603,TOW-03072,2021-01-22T06:42:00,-52
PING-00000350,PHN-00000603,TOW-03072,2021-01-22T06:57:00,-98
PING-00000351,PHN-00004129,TOW-03009,2021-01-22T18:07:00,-84
PING-00000352,PHN-00004129,TOW-03009,2021-01-22T18:22:00,-79
PING-00000353,PHN-00004129,TOW-03009,2021-01-22T18:37:00,-72
PING-00000354,PHN-00004129,TOW-03014,2021-01-22T18:52:00,-67
PING-00000355,PHN-00004129,TOW-03014,2021-01-22T19:07:00,-77
PING-00000356,PHN-00004129,TOW-03015,2021-01-22T19:22:00,-82
PING-00000357,PHN-00004129,TOW-03015,2021-01-22T19:37:00,-72
PING-00000358,PHN-00004129,TOW-03015,2021-01-22T19:52:00,-67
PING-00000359,PHN-00004129,TOW-03013,2021-01-22T20:07:00,-62
PING-00000360,PHN-00000603,TOW-03125,2021-01-23T05:52:00,-96
PING-00000361,PHN-00000603,TOW-03125,2021-01-23T06:07:00,-92
PING-00000362,PHN-00000603,TOW-03125,2021-01-23T06:22:00,-54
PING-00000363,PHN-00000603,TOW-03125,2021-01-23T06:37:00,-83
PING-00000364,PHN-00000603,TOW-03125,2021-01-23T06:52:00,-86
PING-00000365,PHN-00000603,TOW-03125,2021-01-23T07:07:00,-85
PING-00000366,PHN-00000603,TOW-03125,2021-01-23T07:22:00,-95
