cctv_event_id,camera_id,camera_type,camera_owner,location_description,latitude,longitude,district_id,station_id,event_timestamp,vehicle_plate_captured,vehicle_type,vehicle_color,person_silhouette_class,num_persons_captured,linked_fir_id,is_primary_evidence,footage_available,footage_quality
CCTV-00000031,CAM-KA-MGL-2725,dome,BBMP,"Near crime scene, Kadaba, Dakshina Kannada",12.54286,74.792057,KA-MGL,STN-KA-MGL-0026,2021-01-15T09:51:00,KA-04 UE 4273,van,red,male_adult,2,FIR-MGL-2021-00002,false,true,medium_res
CCTV-00000032,CAM-KA-MGL-6698,ptz,Police Department,"Near crime scene, Kadaba, Dakshina Kannada",12.540789,74.792306,KA-MGL,STN-KA-MGL-0026,2021-01-15T04:26:00,KA-04 JI 1955,motorcycle,blue,group_3plus,4,FIR-MGL-2021-00002,true,false,medium_res
CCTV-00000033,CAM-KA-MGL-9574,ptz,Bank,"Near crime scene, Kadaba, Dakshina Kannada",12.542712,74.792471,KA-MGL,STN-KA-MGL-0026,2021-01-15T23:56:00,KA-10 CB 4149,motorcycle,green,male_adult,1,FIR-MGL-2021-00002,false,true,medium_res
CCTV-00000034,CAM-KA-BLR-3832,ptz,Private Business,"Near crime scene, Yelahanka, Bengaluru Urban",12.876428,77.634429,KA-BLR,STN-KA-BLR-0040,2021-01-16T00:45:00,,,,unidentifiable,1,FIR-BLR-2021-00017,false,false,high_res
CCTV-00000035,CAM-KA-BLR-5757,ptz,Traffic Police,"Near crime scene, Yelahanka, Bengaluru Urban",12.874045,77.634653,KA-BLR,STN-KA-BLR-0040,2021-01-16T14:39:00,,,,group_2,4,FIR-BLR-2021-00017,false,true,medium_res
CCTV-00000036,CAM-KA-VKT-5748,traffic_enforcement,Bank,"Near crime scene, Hoovina Hadagali, Vijayanagara",15.075754,76.253,KA-VKT,STN-KA-VKT-0017,2021-01-17T16:21:00,KA-04 QO 1894,car,white,group_3plus,1,FIR-VKT-2021-00003,false,true,high_res
CCTV-00000037,CAM-KA-KLP-4052,traffic_enforcement,Traffic Police,"Near crime scene, Gulbarga, Kalaburagi",17.439299,77.210807,KA-KLP,STN-KA-KLP-0016,2021-01-17T08:30:00,KA-12 SP 3719,car,red,male_adult,1,FIR-KLP-2021-00006,false,true,medium_res
CCTV-00000038,CAM-KA-KLP-5094,bullet,KSTDC,"Near crime scene, Gulbarga, Kalaburagi",17.437305,77.209069,KA-KLP,STN-KA-KLP-0016,2021-01-17T18:08:00,,,,male_adult,1,FIR-KLP-2021-00006,true,true,low_res
CCTV-00000039,CAM-KA-BLR-6998,dome,Private Business,"Near crime scene, Bengaluru North, Bengaluru Urban",12.956534,77.389296,KA-BLR,STN-KA-BLR-0005,2021-01-17T23:41:00,KA-06 IY 7535,car,yellow,unidentifiable,1,FIR-BLR-2021-00018,true,true,low_res
CCTV-00000040,CAM-KA-BLR-8748,atm_internal,Bank,"Near crime scene, Bengaluru North, Bengaluru Urban",12.956617,77.387523,KA-BLR,STN-KA-BLR-0005,2021-01-17T02:18:00,,,,juvenile,3,FIR-BLR-2021-00018,false,true,medium_res
CCTV-00000041,CAM-KA-BLR-1776,dome,Police Department,"Near crime scene, Bengaluru North, Bengaluru Urban",12.958119,77.390286,KA-BLR,STN-KA-BLR-0005,2021-01-17T03:37:00,,,,unidentifiable,3,FIR-BLR-2021-00018,false,false,medium_res
CCTV-00000042,CAM-KA-BSD-6309,bodycam,Private Business,"Near crime scene, Bagalkote, Bagalkote",16.54767,75.598689,KA-BSD,STN-KA-BSD-0001,2021-01-18T12:41:00,,,,juvenile,3,FIR-BSD-2021-00001,false,true,high_res
CCTV-00000043,CAM-KA-BSD-5752,bullet,BBMP,"Near crime scene, Bagalkote, Bagalkote",16.544857,75.596659,KA-BSD,STN-KA-BSD-0001,2021-01-18T19:29:00,KA-12 XB 4982,auto_rickshaw,grey,juvenile,4,FIR-BSD-2021-00001,false,true,corrupted
CCTV-00000044,CAM-KA-BSD-7562,traffic_enforcement,BBMP,"Near crime scene, Bagalkote, Bagalkote",16.54664,75.596521,KA-BSD,STN-KA-BSD-0001,2021-01-18T08:00:00,KA-20 YI 4454,car,blue,unidentifiable,2,FIR-BSD-2021-00001,true,true,low_res
CCTV-00000045,CAM-KA-MGL-5074,bullet,BBMP,"Near crime scene, Belthangady, Dakshina Kannada",12.507423,74.864672,KA-MGL,STN-KA-MGL-0014,2021-01-19T09:35:00,,,,female_adult,3,FIR-MGL-2021-00003,false,true,low_res
CCTV-00000046,CAM-KA-KLP-8236,atm_internal,Traffic Police,"Near crime scene, Kalaburagi, Kalaburagi",17.49435,77.072127,KA-KLP,STN-KA-KLP-0004,2021-01-20T19:35:00,,,,unidentifiable,1,FIR-KLP-2021-00007,false,false,low_res
CCTV-00000047,CAM-KA-KLP-5415,bodycam,Police Department,"Near crime scene, Kalaburagi, Kalaburagi",17.494482,77.075514,KA-KLP,STN-KA-KLP-0004,2021-01-20T19:59:00,KA-24 DF 3192,car,white,unidentifiable,2,FIR-KLP-2021-00007,true,true,medium_res
CCTV-00000048,CAM-KA-HBL-1436,bodycam,BBMP,"Near crime scene, Kundgol, Hubballi-Dharwad",15.005849,75.332605,KA-HBL,STN-KA-HBL-0024,2021-01-20T17:46:00,KA-28 XN 5208,motorcycle,red,male_adult,3,FIR-HBL-2021-00002,false,true,medium_res
CCTV-00000049,CAM-KA-BLR-3523,bullet,Police Department,"Near crime scene, Mahadevapura, Bengaluru Urban",13.09232,77.37848,KA-BLR,STN-KA-BLR-0052,2021-01-21T00:51:00,KA-05 PX 2218,auto_rickshaw,orange,group_2,3,FIR-BLR-2021-00020,true,false,medium_res
CCTV-00000050,CAM-KA-KLR-5228,bodycam,BBMP,"Near crime scene, Kolar, Kolar",12.921032,78.169682,KA-KLR,STN-KA-KLR-0000,2021-01-22T08:01:00,,,,male_adult,2,FIR-KLR-2021-00001,true,false,low_res
CCTV-00000051,CAM-KA-KLR-8416,atm_internal,KSTDC,"Near crime scene, Kolar, Kolar",12.921243,78.168319,KA-KLR,STN-KA-KLR-0000,2021-01-22T05:26:00,KA-18 XN 3065,van,blue,unidentifiable,3,FIR-KLR-2021-00001,false,false,medium_res
CCTV-00000052,CAM-KA-BLR-1206,bodycam,Police Department,"Near crime scene, Yelahanka, Bengaluru Urban",13.186889,77.587095,KA-BLR,STN-KA-BLR-0037,2021-01-23T03:00:00,KA-22 FP 2545,motorcycle,red,group_2,4,FIR-BLR-2021-00021,true,false,high_res
CCTV-00000053,CAM-KA-BLR-2430,atm_internal,Private Business,"Near crime scene, Yelahanka, Bengaluru Urban",13.184807,77.588075,KA-BLR,STN-KA-BLR-0037,2021-01-23T03:43:00,KA-57 KU 2736,motorcycle,white,female_adult,1,FIR-BLR-2021-00021,false,true,high_res
CCTV-00000054,CAM-KA-KLP-9547,traffic_enforcement,Police Department,"Near crime scene, Shorapur, Kalaburagi",17.156608,77.339393,KA-KLP,STN-KA-KLP-0023,2021-01-23T11:35:00,KA-28 NI 7814,auto_rickshaw,white,female_adult,3,FIR-KLP-2021-00008,false,true,low_res
CCTV-00000055,CAM-KA-KLP-9062,bullet,Bank,"Near crime scene, Shorapur, Kalaburagi",17.156422,77.3391,KA-KLP,STN-KA-KLP-0023,2021-01-23T22:21:00,,,,juvenile,4,FIR-KLP-2021-00008,false,false,medium_res
CCTV-00000056,CAM-KA-KLP-2757,ptz,BBMP,"Near crime scene, Shorapur, Kalaburagi",17.158109,77.337927,KA-KLP,STN-KA-KLP-0023,2021-01-23T16:33:00,KA-07 LQ 8759,auto_rickshaw,white,juvenile,3,FIR-KLP-2021-00008,true,true,high_res
CCTV-00000057,CAM-KA-BLR-8342,atm_internal,Traffic Police,"Near crime scene, Bengaluru East, Bengaluru Urban",13.082749,77.512472,KA-BLR,STN-KA-BLR-0025,2021-01-24T13:36:00,KA-12 FI 4807,auto_rickshaw,red,group_3plus,2,FIR-BLR-2021-00022,true,false,low_res
CCTV-00000058,CAM-KA-BLR2-3742,dome,Private Business,"Near crime scene, Hagaribommanahalli, Ballari",15.414198,77.174818,KA-BLR2,STN-KA-BLR2-0009,2021-01-24T11:16:00,KA-07 GV 8715,motorcycle,silver,juvenile,3,FIR-BLR2-2021-00003,true,false,high_res
CCTV-00000059,CAM-KA-BLR2-9279,bullet,Private Business,"Near crime scene, Hagaribommanahalli, Ballari",15.411766,77.177614,KA-BLR2,STN-KA-BLR2-0009,2021-01-24T13:46:00,KA-07 MU 1774,motorcycle,black,male_adult,3,FIR-BLR2-2021-00003,false,false,low_res
CCTV-00000060,CAM-KA-BLR2-5239,dome,KSTDC,"Near crime scene, Hagaribommanahalli, Ballari",15.412733,77.174568,KA-BLR2,STN-KA-BLR2-0009,2021-01-24T03:11:00,,,,juvenile,2,FIR-BLR2-2021-00003,false,true,medium_res
CCTV-00000061,CAM-KA-RBG-8830,dome,Traffic Police,"Near crime scene, Hubballi, Dharwad",15.511559,74.938746,KA-RBG,STN-KA-RBG-0011,2021-01-25T10:56:00,KA-17 CM 8455,motorcycle,red,group_3plus,1,FIR-RBG-2021-00011,true,false,medium_res
CCTV-00000062,CAM-KA-RBG-3236,traffic_enforcement,Police Department,"Near crime scene, Kalghatagi, Dharwad",15.526549,75.014649,KA-RBG,STN-KA-RBG-0020,2021-01-26T17:58:00,KA-23 ZV 9092,van,grey,unidentifiable,3,FIR-RBG-2021-00012,true,true,low_res
CCTV-00000063,CAM-KA-RBG-9082,bodycam,Private Business,"Near crime scene, Kalghatagi, Dharwad",15.527718,75.01347,KA-RBG,STN-KA-RBG-0020,2021-01-26T01:34:00,KA-01 NS 9092,car,black,group_2,2,FIR-RBG-2021-00012,true,false,low_res
CCTV-00000064,CAM-KA-KLP-5422,atm_internal,Bank,"Near crime scene, Shorapur, Kalaburagi",17.313665,76.901034,KA-KLP,STN-KA-KLP-0024,2021-01-27T08:00:00,KA-13 RW 3666,car,blue,male_adult,1,FIR-KLP-2021-00009,false,false,medium_res
CCTV-00000065,CAM-KA-KLP-3026,atm_internal,KSTDC,"Near crime scene, Shorapur, Kalaburagi",17.313791,76.902421,KA-KLP,STN-KA-KLP-0024,2021-01-27T15:26:00,,,,juvenile,3,FIR-KLP-2021-00009,false,true,medium_res
CCTV-00000066,CAM-KA-KLP-9858,traffic_enforcement,BBMP,"Near crime scene, Shorapur, Kalaburagi",17.314617,76.900257,KA-KLP,STN-KA-KLP-0024,2021-01-27T01:42:00,,,,juvenile,3,FIR-KLP-2021-00009,true,false,medium_res
CCTV-00000067,CAM-KA-BLR-5327,dome,KSTDC,"Near crime scene, Yelahanka, Bengaluru Urban",13.145992,77.696064,KA-BLR,STN-KA-BLR-0037,2021-01-28T07:32:00,,,,juvenile,3,FIR-BLR-2021-00024,false,false,high_res
CCTV-00000068,CAM-KA-BLR-7437,atm_internal,Private Business,"Near crime scene, Bengaluru North, Bengaluru Urban",12.845533,77.596596,KA-BLR,STN-KA-BLR-0011,2021-01-29T17:42:00,KA-03 MU 5352,auto_rickshaw,red,juvenile,2,FIR-BLR-2021-00025,false,true,medium_res
CCTV-00000069,CAM-KA-BLR-7742,ptz,Police Department,"Near crime scene, Bengaluru North, Bengaluru Urban",12.843427,77.599421,KA-BLR,STN-KA-BLR-0011,2021-01-29T18:25:00,,,,female_adult,3,FIR-BLR-2021-00025,true,true,medium_res
CCTV-00000070,CAM-KA-VKT-9016,bodycam,Police Department,"Near crime scene, Hoovina Hadagali, Vijayanagara",15.047492,76.293092,KA-VKT,STN-KA-VKT-0015,2021-01-30T11:53:00,KA-24 SE 1910,van,orange,female_adult,2,FIR-VKT-2021-00007,true,false,low_res
CCTV-00000071,CAM-KA-VKT-8200,bullet,KSTDC,"Near crime scene, Hoovina Hadagali, Vijayanagara",15.044934,76.293183,KA-VKT,STN-KA-VKT-0015,2021-01-30T13:44:00,KA-57 EN 1990,motorcycle,silver,juvenile,4,FIR-VKT-2021-00007,false,true,high_res
CCTV-00000072,CAM-KA-RBG-4011,dome,Police Department,"Near crime scene, Dharwad, Dharwad",15.587494,75.085378,KA-RBG,STN-KA-RBG-0001,2021-01-31T04:41:00,KA-28 XC 6896,motorcycle,red,female_adult,1,FIR-RBG-2021-00017,false,true,low_res
CCTV-00000073,CAM-KA-RBG-7569,dome,Police Department,"Near crime scene, Dharwad, Dharwad",15.586222,75.084335,KA-RBG,STN-KA-RBG-0001,2021-01-31T08:52:00,,,,juvenile,1,FIR-RBG-2021-00017,true,false,medium_res
CCTV-00000074,CAM-KA-RBG-1109,dome,Traffic Police,"Near crime scene, Dharwad, Dharwad",15.586813,75.084749,KA-RBG,STN-KA-RBG-0001,2021-01-31T11:49:00,KA-06 LY 6867,auto_rickshaw,red,female_adult,4,FIR-RBG-2021-00017,false,true,low_res
CCTV-00000075,CAM-KA-CTV-5987,dome,Traffic Police,"Near crime scene, Hosadurga, Chitradurga",14.180851,76.528187,KA-CTV,STN-KA-CTV-0013,2021-01-31T12:22:00,KA-11 NE 7820,auto_rickshaw,blue,juvenile,2,FIR-CTV-2021-00001,false,true,medium_res
CCTV-00000076,CAM-KA-CTV-9275,ptz,BBMP,"Near crime scene, Hosadurga, Chitradurga",14.179247,76.527512,KA-CTV,STN-KA-CTV-0013,2021-01-31T20:10:00,KA-41 WE 7434,motorcycle,yellow,group_3plus,4,FIR-CTV-2021-00001,true,false,medium_res
CCTV-00000077,CAM-KA-CTV-2496,ptz,Police Department,"Near crime scene, Hosadurga, Chitradurga",14.181926,76.527748,KA-CTV,STN-KA-CTV-0013,2021-01-31T11:53:00,,,,juvenile,3,FIR-CTV-2021-00001,false,false,medium_res
CCTV-00000078,CAM-KA-VKT-1386,bullet,BBMP,"Near crime scene, Harapanahalli, Vijayanagara",14.946321,76.11354,KA-VKT,STN-KA-VKT-0012,2021-02-01T21:18:00,,,,male_adult,1,FIR-VKT-2021-00008,false,false,corrupted
CCTV-00000079,CAM-KA-VKT-9994,bullet,KSTDC,"Near crime scene, Harapanahalli, Vijayanagara",14.946552,76.117029,KA-VKT,STN-KA-VKT-0012,2021-02-01T02:54:00,,,,unidentifiable,4,FIR-VKT-2021-00008,false,true,low_res
CCTV-00000080,CAM-KA-RBG-1762,bodycam,KSTDC,"Near crime scene, Hubballi, Dharwad",15.310683,74.926377,KA-RBG,STN-KA-RBG-0012,2021-02-02T14:34:00,KA-26 HM 5823,motorcycle,yellow,male_adult,4,FIR-RBG-2021-00018,false,false,medium_res
CCTV-00000081,CAM-KA-VKT-8174,bullet,BBMP,"Near crime scene, Hosapete, Vijayanagara",15.01777,76.181911,KA-VKT,STN-KA-VKT-0002,2021-02-04T02:21:00,,,,group_3plus,3,FIR-VKT-2021-00010,true,true,medium_res
CCTV-00000082,CAM-KA-VKT-1600,ptz,Bank,"Near crime scene, Hosapete, Vijayanagara",15.020226,76.184093,KA-VKT,STN-KA-VKT-0002,2021-02-04T22:53:00,,,,group_3plus,1,FIR-VKT-2021-00010,false,false,medium_res
CCTV-00000083,CAM-KA-HVR-4511,bodycam,BBMP,"Near crime scene, Shiggaon, Haveri",14.524887,75.384574,KA-HVR,STN-KA-HVR-0009,2021-02-04T09:20:00,KA-05 ZL 2272,van,grey,unidentifiable,1,FIR-HVR-2021-00005,true,true,medium_res
CCTV-00000084,CAM-KA-RBG-1287,traffic_enforcement,BBMP,"Near crime scene, Dharwad, Dharwad",15.346232,75.337674,KA-RBG,STN-KA-RBG-0005,2021-02-05T11:36:00,KA-38 BD 3238,van,grey,group_2,2,FIR-RBG-2021-00020,false,false,high_res
CCTV-00000085,CAM-KA-VKT-2764,bodycam,Bank,"Near crime scene, Hosapete, Vijayanagara",15.277666,76.097385,KA-VKT,STN-KA-VKT-0000,2021-02-05T14:34:00,KA-14 HT 6559,van,silver,female_adult,3,FIR-VKT-2021-00011,true,true,medium_res
CCTV-00000086,CAM-KA-VKT-8529,ptz,Private Business,"Near crime scene, Hosapete, Vijayanagara",15.277623,76.097693,KA-VKT,STN-KA-VKT-0000,2021-02-05T00:08:00,KA-23 JP 2131,auto_rickshaw,silver,group_3plus,2,FIR-VKT-2021-00011,false,true,high_res
CCTV-00000087,CAM-KA-RBG-7839,bullet,BBMP,"Near crime scene, Navalgund, Dharwad",15.206055,74.81949,KA-RBG,STN-KA-RBG-0024,2021-02-07T11:50:00,KA-24 ZI 4801,auto_rickshaw,silver,unidentifiable,2,FIR-RBG-2021-00021,false,true,medium_res
CCTV-00000088,CAM-KA-RBG-1922,traffic_enforcement,Traffic Police,"Near crime scene, Navalgund, Dharwad",15.204965,74.822216,KA-RBG,STN-KA-RBG-0024,2021-02-07T02:12:00,KA-24 AH 2951,motorcycle,grey,juvenile,3,FIR-RBG-2021-00021,false,true,low_res
CCTV-00000089,CAM-KA-RBG-1284,ptz,Traffic Police,"Near crime scene, Hubballi, Dharwad",15.439572,75.354695,KA-RBG,STN-KA-RBG-0009,2021-02-08T02:03:00,,,,unidentifiable,2,FIR-RBG-2021-00022,false,false,medium_res
CCTV-00000090,CAM-KA-RBG-2670,bullet,Private Business,"Near crime scene, Dharwad, Dharwad",15.43272,75.368542,KA-RBG,STN-KA-RBG-0003,2021-02-09T02:45:00,KA-13 AY 4586,motorcycle,blue,juvenile,3,FIR-RBG-2021-00023,true,true,high_res
CCTV-00000091,CAM-KA-RBG-4694,bullet,Traffic Police,"Near crime scene, Dharwad, Dharwad",15.432862,75.367316,KA-RBG,STN-KA-RBG-0003,2021-02-09T14:17:00,KA-23 ZZ 1911,motorcycle,red,juvenile,3,FIR-RBG-2021-00023,false,true,medium_res
CCTV-00000092,CAM-KA-RBG-3030,bodycam,Traffic Police,"Near crime scene, Dharwad, Dharwad",15.433519,75.369413,KA-RBG,STN-KA-RBG-0003,2021-02-09T12:54:00,KA-10 DH 3154,motorcycle,black,female_adult,1,FIR-RBG-2021-00023,true,true,medium_res
CCTV-00000093,CAM-KA-VKT-8198,ptz,Traffic Police,"Near crime scene, Hoovina Hadagali, Vijayanagara",14.895974,76.385832,KA-VKT,STN-KA-VKT-0016,2021-02-09T16:38:00,,,,juvenile,3,FIR-VKT-2021-00013,true,true,high_res
CCTV-00000094,CAM-KA-VKT-7842,dome,BBMP,"Near crime scene, Hoovina Hadagali, Vijayanagara",14.895623,76.386661,KA-VKT,STN-KA-VKT-0016,2021-02-09T02:33:00,,,,juvenile,4,FIR-VKT-2021-00013,false,true,medium_res
CCTV-00000095,CAM-KA-RBG-9368,dome,Traffic Police,"Near crime scene, Dharwad, Dharwad",15.559473,75.092507,KA-RBG,STN-KA-RBG-0001,2021-02-12T12:34:00,,,,male_adult,2,FIR-RBG-2021-00026,false,true,medium_res
